date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015/12/31,21.9,23.38,22.98,21.9,85962.29,1.14,5.22,22.338,23.059,22.535,57153.86,66103.03,64921.16
2015/12/30,21.88,21.96,21.85,21.36,28709.9,0.08,0.37,22.352,23.094,22.445,54989.93,66637.36,62594.47
2015/12/29,21.86,22.27,21.78,21.3,52505.66,-0.1,-0.46,22.804,23.133,22.393,63269.41,67951.5,63397.64
2015/12/28,23.2,23.4,21.89,21.85,71790.53,-1.31,-5.65,23.208,23.187,22.366,63460.36,67779.93,64901.54
2015/12/25,23.18,23.3,23.19,22.82,46800.9,0.15,0.65,23.62,23.227,22.294,62566.37,64647.24,65422.61
2015/12/24,24.05,24.05,23.05,22.88,75142.68,-1.06,-4.4,23.78,23.097,22.193,75052.2,64640.92,67915
2015/12/23,23.97,24.44,24.11,23.66,70107.29,0.33,1.39,23.836,23.012,22.217,78284.79,69944.93,66730.18
2015/12/22,23.8,24.1,23.8,23.5,53460.38,-0.11,-0.46,23.462,22.731,22.204,72633.58,68271.22,66575.31
2015/12/21,24.2,24.8,23.95,23.7,67320.6,-0.04,-0.17,23.166,22.457,22.196,72099.51,68937.98,67161.6
2015/12/18,23.53,24.66,23.99,23.43,109230.05,0.65,2.79,22.834,22.264,22.163,66728.1,68518.08,68161.18
2015/12/17,22.5,23.35,23.33,22.5,91305.61,1.12,5.04,22.414,22.01,22.175,54229.64,63739.3,67789.46
2015/12/16,22.59,22.65,22.24,22.15,41851.26,-0.08,-0.36,22.188,21.795,22.204,61605.08,58551.57,69257.21
2015/12/15,22.24,22.66,22.32,22.01,50790.04,0.03,0.14,22,21.652,22.293,63908.85,58843.78,74988.29
2015/12/14,21.61,22.31,22.29,21.5,40463.54,0.41,1.87,21.748,21.545,22.482,65776.45,62023.15,80695.08
2015/12/11,21.81,22.39,21.89,21.6,46737.76,-0.31,-1.4,21.694,21.36,22.67,70308.06,66197.99,83994.79
2015/12/10,21.85,23.36,22.2,21.84,128182.8,0.93,4.37,21.606,21.288,22.823,73248.95,71189.08,90839.46
2015/12/9,21.06,21.87,21.3,21.01,53370.13,0.25,1.19,21.402,21.421,22.914,55498.06,63515.43,90435.71
2015/12/8,21.93,21.93,21.06,21,60128.03,-0.96,-4.36,21.304,21.676,23.082,53778.7,64879.39,95351.19
2015/12/7,21.45,22.15,22.02,21.09,63121.57,0.58,2.71,21.342,21.934,23.268,58269.85,65385.22,102445.8
2015/12/4,21.1,21.88,21.45,21.03,61442.24,0.28,1.32,21.026,22.062,23.294,62087.93,67804.28,104367.83
2015/12/3,20.66,21.32,21.18,20.66,39428.35,0.36,1.73,20.97,22.34,23.338,69129.2,71839.62,105013.7
2015/12/2,21.3,21.37,20.81,20.3,44773.31,-0.4,-1.89,21.44,22.613,23.389,71532.79,79962.84,110108.6
2015/12/1,20.38,22,21.25,20.01,82583.76,0.83,4.07,22.048,22.933,23.441,75980.09,91132.81,112911.34
2015/11/30,21.18,21.98,20.44,19.29,82211.97,-0.74,-3.49,22.526,23.418,23.423,72500.6,99367.01,112406.99
2015/11/27,23.35,23.43,21.17,21.17,96648.6,-2.35,-9.99,23.098,23.979,23.423,73520.63,101791.59,111634.76
2015/11/26,23.85,24.08,23.53,23.5,51446.29,-0.31,-1.3,23.71,24.357,23.395,74550.04,110489.85,109815.49
2015/11/25,23.4,24.15,23.85,23.4,67009.81,0.23,0.97,23.786,24.407,23.266,88392.9,117356,110610.73
2015/11/24,23.26,23.75,23.64,22.86,65186.31,0.33,1.42,23.818,24.487,23.104,106285.54,125822.98,112165.27
2015/11/23,24.55,24.61,23.3,23.25,87312.13,-0.9,-3.72,24.31,24.602,23.012,126233.41,139506.37,114145.26
2015/11/20,23.93,24.49,24.23,23.53,101795.66,0.32,1.34,24.86,24.526,22.939,130062.55,140931.38,118704.06
2015/11/19,23.72,24.26,23.91,23.01,120660.59,-0.12,-0.5,25.004,24.336,22.849,146429.66,138187.78,123305.46
2015/11/18,26.17,26.28,24.01,23.8,156473,-2.07,-7.94,25.028,24.165,22.673,146319.11,140254.35,124176.02
2015/11/17,27.62,27.69,26.1,25.9,164925.69,0.04,0.15,25.156,23.949,22.4,145360.43,134689.86,120988.1
2015/11/16,24.51,26.28,26.05,24.1,106457.82,1.09,4.37,24.894,23.428,22.092,152779.33,125446.98,116400.75
2015/11/13,24.1,26.35,24.95,24.1,183631.2,0.92,3.83,24.192,22.867,21.772,151800.2,121477.94,116252.91
2015/11/12,24.62,24.64,24.03,23.68,120107.83,-0.59,-2.4,23.668,22.433,21.545,129945.9,109141.13,115046.76
2015/11/11,24.2,25.1,24.65,23.8,151679.59,-0.14,-0.56,23.302,22.124,21.341,134189.6,103865.45,115390.24
2015/11/10,23.5,24.79,24.79,23.5,202020.19,2.25,9.98,22.742,21.721,21.054,124019.3,98507.55,116786.59
2015/11/9,22.04,23.11,22.54,22.04,101562.21,0.21,0.94,21.962,21.421,20.739,98114.64,88784.15,112512.85
2015/11/6,22.18,22.65,22.33,22,74359.66,0.12,0.54,21.542,21.352,20.453,91155.67,96476.73,112484.83
2015/11/5,22.3,23.15,22.2,21.88,141326.34,0.35,1.6,21.198,21.362,20.146,88336.36,108423.15,111193.88
2015/11/4,20.95,21.99,21.85,20.93,100828.08,0.96,4.6,20.946,21.181,19.849,73541.3,108097.69,107905.47
2015/11/3,20.89,21.33,20.89,20,72496.91,0.45,2.2,20.7,20.85,19.54,72995.81,107286.34,107140.64
2015/11/2,20.35,21.3,20.44,19.86,66767.37,-0.17,-0.82,20.88,20.756,19.269,79453.67,107354.52,107428.15
2015/10/30,20.85,21,20.61,20.5,60263.1,-0.28,-1.34,21.162,20.677,19.001,101797.79,111027.87,106162.2
2015/10/29,21.02,21.36,20.94,20.65,67351.04,0.32,1.55,21.526,20.656,18.735,128509.94,120952.39,106742.05
2015/10/28,21.9,22.12,20.62,20.2,98100.62,-1.16,-5.33,21.416,20.558,18.458,142654.08,126915.02,106311.81
2015/10/27,21.49,22.18,21.79,20.39,104786.21,-0.06,-0.28,21,20.386,18.185,141576.87,135065.63,105620.38
2015/10/26,23.32,23.46,21.85,21.06,178488,-0.58,-2.59,20.632,20.057,17.844,135255.37,136241.55,104451.05
2015/10/23,21.21,22.43,22.43,20.71,193823.84,2.04,10.01,20.192,19.553,17.479,120257.95,128492.93,98549.95
2015/10/22,18.65,20.39,20.39,18.65,138071.73,1.85,9.98,19.786,18.929,17.058,113394.85,113964.62,91822.64
2015/10/21,19.96,20.5,18.54,18.23,92714.55,-1.39,-6.97,19.7,18.517,16.736,111175.96,107713.25,89358.21
