,code,name,date,count,ratio
0,002208,合肥城建,2016-01-29,252.00,0.79
1,002346,柘中股份,2016-01-29,980.00,2.22
2,300011,鼎汉技术,2016-01-29,2472.29,4.69
3,300369,绿盟科技,2016-01-29,1353.53,3.72
4,300381,溢多利,2016-01-29,343.50,2.86
5,300383,光环新网,2016-01-29,2400.00,4.40
6,603799,华友钴业,2016-01-29,17292.20,32.31
7,002445,中南文化,2016-01-28,11329.26,15.33
8,002714,牧原股份,2016-01-28,1027.36,1.99
9,002734,利民股份,2016-01-28,5423.68,41.72
10,300378,鼎捷软件,2016-01-28,6067.89,30.23
11,600582,天地科技,2016-01-28,34649.61,8.37
12,603611,诺力股份,2016-01-28,5302.50,33.14
13,603698,航天工程,2016-01-28,647.06,1.57
14,000683,远兴能源,2016-01-27,22833.80,14.11
15,000793,华闻传媒,2016-01-27,1008.08,0.49
16,002536,西泵股份,2016-01-27,4145.00,37.25
17,002721,金一文化,2016-01-27,1678.01,2.59
18,300036,超图软件,2016-01-27,101.14,0.52
19,300146,汤臣倍健,2016-01-27,71.19,0.10
20,300263,隆华节能,2016-01-27,783.43,1.77
21,300415,伊之密,2016-01-27,9900.00,41.25
22,600619,海立股份,2016-01-27,6500.00,7.50
23,603558,健盛集团,2016-01-27,4050.00,13.50
24,603899,晨光文具,2016-01-27,5200.00,11.30
25,000166,申万宏源,2016-01-26,195201.86,13.14
26,300419,浩丰科技,2016-01-26,1117.98,27.20
27,600614,鹏起科技,2016-01-26,9498.00,5.42
28,603678,火炬电子,2016-01-26,3909.97,23.50
29,603686,龙马环卫,2016-01-26,3330.00,12.49
30,000061,农产品,2016-01-25,8387.00,4.94
31,000975,银泰资源,2016-01-25,41264.40,38.15
32,002740,爱迪尔,2016-01-25,1827.94,18.28
33,300364,中文在线,2016-01-25,201.27,1.68
34,300417,南华仪器,2016-01-25,385.00,9.44
35,600008,首创股份,2016-01-25,21030.71,8.72
36,603600,永艺股份,2016-01-25,1687.50,16.88
37,000555,神州信息,2016-01-22,1434.34,1.56
38,002708,光洋股份,2016-01-22,618.75,1.51
39,002739,万达院线,2016-01-22,28600.00,24.36
40,300268,万福生科,2016-01-22,3508.77,26.19
41,300281,金明精机,2016-01-22,13493.66,55.22
42,300364,中文在线,2016-01-22,3520.34,29.34
43,300416,苏试试验,2016-01-22,1494.00,23.79
44,600373,中文传媒,2016-01-22,1554.66,1.13
45,601069,西部黄金,2016-01-22,6375.00,10.02
46,603601,再升科技,2016-01-22,3366.00,22.50
47,300280,南通锻压,2016-01-21,8000.00,62.50
48,300358,楚天科技,2016-01-21,637.08,2.29
49,300359,全通教育,2016-01-21,1374.99,5.42
50,300381,溢多利,2016-01-21,67.23,0.56
51,300418,昆仑万维,2016-01-21,16979.77,15.06
52,600276,恒瑞医药,2016-01-21,53.20,0.03
53,600285,羚锐制药,2016-01-21,6376.04,11.91
54,600568,中珠医疗,2016-01-21,14037.80,27.71
55,600805,悦达投资,2016-01-21,5.11,0.01
56,000793,华闻传媒,2016-01-20,4616.90,2.25
