,code,name,date,count,ratio
0,002217,合力泰,2015-03-31,10034.28,9.30
1,300146,汤臣倍健,2015-03-31,13.70,0.02
2,600673,东阳光科,2015-03-31,12210.01,12.86
3,601313,江南嘉捷,2015-03-31,466.20,1.16
4,000509,华塑控股,2015-03-30,7746.14,9.38
5,000823,超声电子,2015-03-30,9653.00,17.98
6,000931,中关村,2015-03-30,15353.29,22.75
7,002667,鞍重股份,2015-03-30,4000.00,58.84
8,300133,华策影视,2015-03-30,6260.45,9.59
9,300256,星星科技,2015-03-30,2262.57,10.02
10,300306,远方光电,2015-03-30,8292.04,69.10
11,300307,慈星股份,2015-03-30,64529.17,80.46
12,600843,上工申贝,2015-03-30,9970.28,18.17
13,601238,广汽集团,2015-03-30,361740.35,56.21
14,002214,大立科技,2015-03-27,2493.33,10.87
15,002565,顺灏股份,2015-03-27,394.80,0.57
16,600114,东睦股份,2015-03-27,450.00,1.19
17,300020,银江股份,2015-03-26,1681.95,6.07
18,300288,朗玛信息,2015-03-26,8000.00,71.02
19,600068,葛洲坝,2015-03-26,66111.73,14.36
20,601169,北京银行,2015-03-26,159250.23,15.08
21,002663,普邦股份,2015-03-25,19200.00,29.83
22,300302,同有科技,2015-03-25,6368.26,58.97
23,600562,国睿科技,2015-03-25,3587.91,13.96
24,002364,中恒电气,2015-03-24,775.40,2.97
25,300068,南都电源,2015-03-24,1540.36,2.55
26,300226,上海钢联,2015-03-24,2.92,0.02
27,300304,云意电气,2015-03-24,13600.00,68.00
28,000409,山东地矿,2015-03-23,302.90,0.64
29,002376,新北洋,2015-03-23,2000.00,3.33
30,300247,乐金健康,2015-03-23,1184.51,4.58
31,600448,华纺股份,2015-03-23,7959.37,18.84
32,600841,上柴股份,2015-03-23,2971.77,3.43
33,002586,围海股份,2015-03-20,5911.33,16.24
34,300300,汉鼎宇佑,2015-03-20,10450.00,54.60
35,300298,三诺生物,2015-03-19,13543.65,67.53
36,300299,富春股份,2015-03-19,4451.37,24.61
37,300303,聚飞光电,2015-03-19,12236.68,43.26
38,600022,山东钢铁,2015-03-19,109313.76,16.98
39,600705,中航资本,2015-03-19,68775.79,18.43
40,600731,湖南海利,2015-03-19,7.66,0.02
41,000977,浪潮信息,2015-03-18,4986.29,10.39
42,600270,外运发展,2015-03-18,57463.78,63.46
43,002371,北方华创,2015-03-17,462.88,1.31
44,002630,华西能源,2015-03-17,6840.00,18.54
45,002660,茂硕电源,2015-03-17,9478.56,37.55
46,300136,信维通信,2015-03-17,13.15,0.05
47,600803,新奥股份,2015-03-17,6375.23,6.47
48,000426,兴业矿业,2015-03-16,2111.86,3.54
49,000603,盛达矿业,2015-03-16,200.00,0.40
50,002370,亚太药业,2015-03-16,2972.03,14.57
51,002661,克明面业,2015-03-16,6141.00,71.49
52,002664,信质电机,2015-03-16,12145.50,60.72
53,300295,三六五网,2015-03-16,4219.89,52.73
54,300296,利亚德,2015-03-16,18610.50,57.66
55,300297,蓝盾股份,2015-03-16,8294.76,42.32
56,600056,中国医药,2015-03-16,9774.49,9.65
57,601766,中国中车,2015-03-16,136210.37,9.87
58,000717,韶钢松山,2015-03-13,54148.80,22.38
59,000768,中航飞机,2015-03-13,13780.80,5.19
60,002215,诺普信,2015-03-13,405.31,0.58
61,002466,天齐锂业,2015-03-13,11176.00,43.19
62,600114,东睦股份,2015-03-13,6896.55,18.28
63,600398,海澜之家,2015-03-13,88461.54,19.69
64,600816,安信信托,2015-03-13,26.00,0.06
65,002563,森马服饰,2015-03-12,60000.00,89.55
66,300220,金运激光,2015-03-12,144.00,1.14
67,002494,华斯股份,2015-03-11,2668.90,15.32
68,002559,亚威股份,2015-03-11,3774.64,21.45
69,300282,汇冠股份,2015-03-11,2797.86,21.99
70,600558,大西洋,2015-03-11,9888.69,24.79
71,601800,中国交建,2015-03-11,1039750.00,64.28
72,002447,壹桥股份,2015-03-10,6642.60,13.96
73,300293,蓝英装备,2015-03-10,5173.88,19.16
74,300294,博雅生物,2015-03-10,1730.01,22.82
75,000605,渤海股份,2015-03-09,3000.56,15.39
76,002213,特尔佳,2015-03-09,4169.23,20.24
77,002658,雪迪龙,2015-03-09,20000.00,72.74
78,002662,京威股份,2015-03-09,23850.00,31.80
79,300113,顺网科技,2015-03-09,21.04,0.07
80,600616,金枫酒业,2015-03-09,4936.61,9.59
81,600845,宝信软件,2015-03-09,1033.04,2.84
82,601872,招商轮船,2015-03-09,94418.44,20.00
83,002571,*ST德力,2015-03-06,16440.00,41.94
84,600157,永泰能源,2015-03-06,52211.61,6.06
85,600487,亨通光电,2015-03-06,7313.26,17.68
86,600723,首商股份,2015-03-06,84.50,0.13
87,000581,威孚高科,2015-03-05,16928.70,16.59
88,600815,*ST厦工,2015-03-05,1926.04,2.01
89,300363,博腾股份,2015-03-03,1100.00,10.09
90,002656,摩登大道,2015-03-02,13350.00,66.75
91,002657,中科金财,2015-03-02,6175.92,38.97
92,002719,麦趣尔,2015-03-02,1090.15,11.90
93,300292,吴通控股,2015-03-02,9000.00,38.85
94,600676,交运股份,2015-03-02,8023.29,9.30
95,600699,均胜电子,2015-03-02,20632.48,32.43
