,code,name,date,count,ratio
0,300247,乐金健康,2016-03-31,593.14,1.65
1,300269,联建光电,2016-03-31,831.30,1.64
2,300431,暴风集团,2016-03-31,12468.40,45.37
3,000030,富奥股份,2016-03-30,68554.38,53.01
4,300213,佳讯飞鸿,2016-03-30,210.97,0.81
5,300229,拓尔思,2016-03-30,498.65,1.07
6,000045,深纺织A,2016-03-29,5145.80,10.16
7,000925,众合科技,2016-03-29,433.16,1.34
8,002666,德联集团,2016-03-29,41074.78,54.45
9,300116,坚瑞沃能,2016-03-29,5522.85,11.04
10,300305,裕兴股份,2016-03-29,487.42,3.36
11,000757,浩物股份,2016-03-28,273.76,0.61
12,002078,太阳纸业,2016-03-28,23809.52,9.39
13,002359,齐星铁塔,2016-03-28,1280.00,3.07
14,300026,红日药业,2016-03-28,5038.90,5.02
15,300163,先锋新材,2016-03-28,30.00,0.06
16,300201,海伦哲,2016-03-28,363.64,1.00
17,300251,光线传媒,2016-03-28,15028.90,10.25
18,300369,绿盟科技,2016-03-28,812.40,2.23
19,300435,中泰股份,2016-03-28,792.16,9.71
20,600273,嘉化能源,2016-03-28,20617.84,15.78
21,600343,航天动力,2016-03-28,6284.00,9.85
22,600714,金瑞矿业,2016-03-28,613.67,2.13
23,600856,中天能源,2016-03-28,11909.53,21.00
24,600892,大晟文化,2016-03-28,7.62,0.06
25,603199,九华旅游,2016-03-28,4526.43,40.90
26,603869,北部湾旅,2016-03-28,1881.29,8.70
27,002673,西部证券,2016-03-25,39556.96,14.15
28,300054,鼎龙股份,2016-03-25,217.50,0.49
29,600200,江苏吴中,2016-03-25,188.00,0.28
30,603020,爱普股份,2016-03-25,5673.00,35.46
31,603338,浙江鼎力,2016-03-25,560.00,3.45
32,002406,远东传动,2016-03-24,15537.58,27.70
33,002750,龙津药业,2016-03-24,6225.00,31.09
34,300429,强力新材,2016-03-24,1016.60,12.74
35,603030,全筑股份,2016-03-24,2435.53,15.22
36,603729,龙韵股份,2016-03-24,1943.00,29.14
37,000767,漳泽电力,2016-03-23,68001.28,30.17
38,002236,大华股份,2016-03-23,685.91,0.59
39,002376,新北洋,2016-03-23,2000.00,3.33
40,002580,圣阳股份,2016-03-23,2011.58,9.01
41,300433,蓝思科技,2016-03-23,330.25,0.49
42,600061,国投安信,2016-03-23,32745.45,8.86
43,600958,东方证券,2016-03-23,215866.35,40.87
44,000150,宜华健康,2016-03-21,751.22,1.68
45,000153,丰原药业,2016-03-21,1533.20,4.91
46,000793,华闻传媒,2016-03-21,7473.60,3.64
47,002106,莱宝高科,2016-03-21,1220.00,1.73
48,002549,凯美特气,2016-03-21,37002.00,65.26
49,002666,德联集团,2016-03-21,11432.93,15.16
50,002748,世龙实业,2016-03-21,2774.25,23.12
51,002749,国光股份,2016-03-21,375.00,5.00
52,300374,恒通科技,2016-03-21,3540.21,18.19
53,600509,天富能源,2016-03-21,6700.00,7.40
54,600738,兰州民百,2016-03-21,10609.14,28.76
55,601689,拓普集团,2016-03-21,4160.00,6.41
56,603012,创力集团,2016-03-21,13231.70,41.57
57,603158,腾龙股份,2016-03-21,2400.00,22.50
58,603268,松发股份,2016-03-21,1914.00,21.75
59,603519,立霸股份,2016-03-21,1843.98,23.05
60,000060,中金岭南,2016-03-18,14968.71,6.77
61,000757,浩物股份,2016-03-18,5079.05,11.25
62,002215,诺普信,2016-03-18,395.18,0.43
63,002247,帝龙文化,2016-03-18,5.00,0.02
64,300083,劲胜精密,2016-03-18,2552.11,7.17
65,300166,东方国信,2016-03-18,944.46,1.67
66,300336,新文化,2016-03-18,7544.15,14.03
67,600166,福田汽车,2016-03-18,52539.40,15.75
68,600333,长春燃气,2016-03-18,3360.00,6.34
69,002371,北方华创,2016-03-17,278.77,0.79
70,002502,骅威文化,2016-03-17,1521.03,3.54
71,002588,史丹利,2016-03-17,321.66,0.55
72,002370,亚太药业,2016-03-16,2972.03,14.57
73,600893,航发动力,2016-03-16,235.71,0.12
74,000166,申万宏源,2016-03-15,9293.13,0.63
