date,open,high,close,low,volume,amount
2017-05-02,25.96,26.32,25.94,25.9,6999707.0,182238103.0
2017-04-28,26.0,26.35,26.13,25.8,12236178.0,319851099.0
2017-04-27,25.48,26.08,26.01,25.32,22193471.0,576274798.0
2017-04-26,25.0,25.99,25.48,25.0,20663391.0,528429305.0
2017-04-25,24.48,25.01,24.9,24.45,11628267.0,288898546.0
2017-04-24,24.08,24.75,24.55,23.93,13429236.0,328630952.0
2017-04-21,23.78,24.21,24.13,23.61,6934608.0,166697147.0
2017-04-20,23.86,23.91,23.81,23.5,8040944.0,190506100.0
2017-04-19,24.0,24.15,23.83,23.75,5217876.0,124837821.0
2017-04-18,24.59,24.59,24.05,24.0,7047347.0,170657520.0
2017-04-17,24.48,24.64,24.62,24.31,5111936.0,125202260.0
2017-04-14,24.95,24.97,24.51,24.4,5978501.0,147419210.0
2017-04-13,24.88,25.09,24.97,24.84,4759401.0,118851288.0
2017-04-12,24.68,25.07,24.86,24.63,9133679.0,227682769.0
2017-04-11,24.88,25.0,24.79,24.4,8589387.0,211461909.0
2017-04-10,24.86,25.34,24.9,24.8,9199890.0,230584372.0
2017-04-07,25.03,25.14,25.05,24.92,6129196.0,153317187.0
2017-04-06,25.21,25.21,25.06,24.91,6926233.0,173555500.0
2017-04-05,25.28,25.29,25.26,24.78,10490700.0,262778442.0
2017-03-31,24.88,25.36,25.3,24.7,8713777.0,219187907.0
2017-03-30,24.9,25.14,24.8,24.65,8455616.0,210666782.0
2017-03-29,25.1,25.2,24.87,24.82,6432769.0,160721477.0
2017-03-28,25.09,25.25,25.06,24.97,4716163.0,118386957.0
2017-03-27,24.88,25.32,25.09,24.61,10006679.0,251233362.0
2017-03-24,24.58,24.91,24.9,24.45,8483777.0,209695077.0
2017-03-23,24.43,24.92,24.57,24.43,11730709.0,289584046.0
2017-03-22,25.06,25.08,24.43,24.26,15809809.0,388349961.0
2017-03-21,25.45,25.66,25.17,24.95,12515721.0,316183646.0
2017-03-20,25.6,25.7,25.48,25.25,6512284.0,165607112.0
2017-03-17,25.58,25.68,25.57,25.46,10721699.0,274114775.0
2017-03-16,25.09,25.6,25.57,25.06,13042142.0,331993098.0
2017-03-15,25.06,25.22,24.96,24.87,5562789.0,139316937.0
2017-03-14,25.01,25.22,25.15,25.01,6949758.0,174536976.0
2017-03-13,24.87,25.15,25.14,24.87,8488948.0,212384528.0
2017-03-10,25.26,25.27,24.9,24.79,11563071.0,288416958.0
2017-03-09,25.67,25.67,25.28,25.16,8906887.0,226120156.0
2017-03-08,25.72,25.82,25.71,25.58,9362524.0,240779976.0
2017-03-07,25.31,25.78,25.72,25.18,13644153.0,348317040.0
2017-03-06,25.29,25.36,25.28,25.11,5870282.0,148114563.0
2017-03-03,25.14,25.37,25.29,25.08,7515531.0,189486840.0
2017-03-02,25.54,25.81,25.27,25.25,12853383.0,328664408.0
2017-03-01,25.65,25.8,25.55,25.5,8457482.0,216656662.0
2017-02-28,25.56,25.76,25.67,25.5,7244630.0,185698422.0
2017-02-27,25.97,25.97,25.59,25.56,12433641.0,319986945.0
2017-02-24,26.38,26.48,26.12,25.97,10089317.0,263402461.0
2017-02-23,26.64,26.83,26.38,26.17,10155211.0,268250105.0
2017-02-22,26.6,26.8,26.64,26.52,7849432.0,209192252.0
2017-02-21,26.47,27.07,26.69,26.34,16608550.0,444326666.0
2017-02-20,26.41,26.73,26.47,26.25,18919655.0,499688878.0
2017-02-17,26.45,27.28,26.57,26.41,13589459.0,364631047.0
2017-02-16,26.55,26.7,26.49,26.29,8302203.0,219137606.0
2017-02-15,26.5,26.85,26.58,26.36,12052148.0,320613819.0
2017-02-14,26.86,26.91,26.57,26.38,15007962.0,398087421.0
2017-02-13,26.37,27.3,26.86,26.37,18298396.0,493872664.0
2017-02-10,26.39,26.75,26.4,26.32,10901548.0,288472889.0
2017-02-09,26.36,26.93,26.5,26.26,15992611.0,426101839.0
2017-02-08,26.21,26.62,26.44,26.09,16437999.0,434789561.0
2017-02-07,26.0,26.46,26.24,25.82,19555741.0,511393386.0
2017-02-06,25.16,26.05,26.0,25.16,21742154.0,559474246.0
2017-02-03,25.67,25.75,25.15,25.02,10033770.0,253187522.0
2017-01-26,25.62,26.07,25.72,25.56,10615344.0,274365513.0
2017-01-25,25.9,25.97,25.81,25.64,7594950.0,195542617.0
2017-01-24,25.61,26.15,25.99,25.55,11010251.0,285072026.0
2017-01-23,25.5,25.78,25.76,25.26,11777699.0,300557740.0
2017-01-20,25.59,25.8,25.5,25.47,10487278.0,268438848.0
2017-01-19,26.0,26.16,25.61,25.4,12745035.0,328005208.0
2017-01-18,26.19,26.58,26.1,26.02,14282702.0,375713689.0
2017-01-17,25.9,26.39,26.16,25.85,12496199.0,326620945.0
2017-01-16,25.58,26.23,26.2,25.03,25986616.0,671369335.0
2017-01-13,25.31,26.46,25.7,25.31,24767527.0,642561276.0
2017-01-12,25.42,25.75,25.37,25.32,9261719.0,236303156.0
2017-01-11,25.02,25.77,25.51,24.91,15354131.0,391149071.0
2017-01-10,25.5,25.6,25.02,24.99,10097702.0,254052828.0
2017-01-09,25.05,25.9,25.58,25.03,14414169.0,369478556.0
2017-01-06,25.29,25.48,25.18,25.11,10040013.0,253339050.0
2017-01-05,25.27,25.85,25.38,25.1,13200457.0,337354999.0
2017-01-04,25.0,25.44,25.32,24.97,12798319.0,322858038.0
2017-01-03,24.19,25.43,25.25,24.19,25847583.0,647483452.0
