date,open,high,close,low,volume,amount
2015-11-02,16.51,17.28,16.59,16.12,6676737.0,137781904.0
2015-10-30,16.92,17.04,16.72,16.64,6026310.0,125007168.0
2015-10-29,17.06,17.33,16.95,16.76,6735104.0,141717744.0
2015-10-28,17.77,17.95,16.73,16.39,9810062.0,208908528.0
2015-10-27,17.44,18.0,17.67,16.55,10478621.0,223817696.0
2015-10-26,18.92,19.04,17.73,17.09,17848800.0,395230432.0
2015-10-23,17.21,18.2,18.2,16.81,19382384.0,421894176.0
2015-10-22,15.13,16.55,16.55,15.13,13807173.0,276990176.0
2015-10-21,16.2,16.64,15.05,14.79,9271455.0,180806752.0
2015-10-20,16.12,16.55,16.17,15.95,7317873.0,146800416.0
2015-10-19,16.68,16.8,15.93,15.87,10350092.0,207850832.0
2015-10-16,16.49,17.04,16.56,15.82,15950832.0,321383168.0
2015-10-15,15.1,16.39,16.21,15.1,12697731.0,247903008.0
2015-10-14,14.73,16.15,15.32,14.45,17960672.0,337904320.0
2015-10-13,13.48,15.01,15.01,13.47,11654537.0,205262352.0
2015-10-12,13.15,13.94,13.65,12.99,10100185.0,168299216.0
2015-10-09,13.07,13.25,13.14,12.98,4854067.0,78525360.0
2015-10-08,13.01,13.39,13.19,12.78,7555801.0,122136840.0
2015-09-30,12.42,12.86,12.71,12.16,8553149.0,132757128.0
2015-09-29,12.14,12.98,12.55,12.02,7824720.0,122258704.0
2015-09-28,12.13,12.4,12.25,11.6,4144835.0,61587544.0
2015-09-25,12.58,12.94,12.41,12.2,7185997.0,111615096.0
2015-09-24,12.35,12.74,12.49,12.25,5874639.0,90474384.0
2015-09-23,12.12,12.54,12.29,11.85,8427205.0,126748752.0
2015-09-22,11.79,12.33,12.13,11.75,8139943.0,120394264.0
2015-09-21,11.28,11.82,11.79,11.14,6046603.0,86131712.0
2015-09-18,11.44,11.69,11.37,10.96,5927766.0,82652008.0
2015-09-17,11.83,12.46,11.34,11.3,8878316.0,130562016.0
2015-09-16,10.9,11.89,11.89,10.87,7979999.0,111657480.0
2015-09-15,11.15,11.56,10.81,10.63,8058921.0,109603880.0
2015-09-14,13.49,13.5,11.73,11.73,13970177.0,216918128.0
2015-09-11,12.17,13.04,13.04,11.86,11490025.0,175699232.0
2015-09-10,11.36,12.4,11.86,11.2,8193615.0,120783968.0
2015-09-09,11.32,12.07,11.88,11.32,9508247.0,138160864.0
2015-09-08,10.46,11.34,11.25,10.28,6062779.0,81093232.0
2015-09-07,10.48,10.86,10.35,10.25,5249004.0,68232024.0
2015-09-02,9.98,11.45,10.06,9.98,7020174.0,91586072.0
2015-09-01,11.99,11.99,10.92,10.92,7898585.0,108866032.0
2015-08-31,13.09,13.15,12.14,12.13,7984172.0,123432320.0
2015-08-28,12.5,13.36,13.36,12.17,11782760.0,183033120.0
2015-08-27,12.58,13.39,12.14,11.36,13803301.0,208927264.0
2015-08-26,13.8,14.89,12.63,12.63,13031831.0,216271680.0
2015-08-25,14.03,14.03,14.03,14.03,2639300.0,45633496.0
2015-08-24,16.23,16.55,15.59,15.59,5083230.0,98897208.0
