,code,name,year,report_date,divi,shares
0,603960,克来机电,2016,2017-05-11,1.4,3.0
1,300637,扬帆新材,2016,2017-05-08,3.0,0.0
2,002861,瀛通通讯,2016,2017-05-02,5.0,0.0
3,603919,金徽酒,2016,2017-04-29,2.4,3.0
4,603778,乾景园林,2016,2017-04-29,0.8,15.0
5,603567,珍宝岛,2016,2017-04-29,1.8,0.0
6,300343,联创互联,2016,2017-04-29,1.0,0.0
7,601228,广州港,2016,2017-04-29,0.2,0.0
8,002548,金新农,2016,2017-04-29,1.5,0.0
9,002769,普路通,2016,2017-04-29,1.0,0.0
10,300135,宝利国际,2016,2017-04-29,0.2,0.0
11,002439,启明星辰,2016,2017-04-29,1.0,0.0
12,002323,雅百特,2016,2017-04-29,0.3,0.0
13,300277,海联讯,2016,2017-04-29,0.5,0.0
14,601888,中国国旅,2016,2017-04-29,10.0,10.0
15,300093,金刚玻璃,2016,2017-04-29,0.0,0.0
16,002180,艾派克,2016,2017-04-29,0.3,0.0
17,002055,得润电子,2016,2017-04-29,0.2,0.0
18,002143,印纪传媒,2016,2017-04-29,0.9,6.0
19,002416,爱施德,2016,2017-04-29,1.5,0.0
20,601166,兴业银行,2016,2017-04-29,6.1,0.0
21,600985,雷鸣科化,2016,2017-04-29,1.0,0.0
22,600960,渤海活塞,2016,2017-04-29,0.3,0.0
23,600900,长江电力,2016,2017-04-29,13.8,0.0
24,600015,华夏银行,2016,2017-04-29,1.8,2.0
25,600004,白云机场,2016,2017-04-29,3.7,4.5
26,000909,数源科技,2016,2017-04-29,0.4,0.0
27,000818,方大化工,2016,2017-04-29,0.5,0.0
28,000801,四川九洲,2016,2017-04-29,0.2,0.0
29,000789,万年青,2016,2017-04-29,2.0,0.0
30,000736,中房地产,2016,2017-04-29,0.2,0.0
31,000686,东北证券,2016,2017-04-29,1.0,0.0
32,000599,青岛双星,2016,2017-04-29,0.2,0.0
33,000564,供销大集,2016,2017-04-29,0.2,0.0
34,600811,东方集团,2016,2017-04-29,0.0,3.0
35,600783,鲁信创投,2016,2017-04-29,1.5,0.0
36,600776,东方通信,2016,2017-04-29,0.6,0.0
37,000426,兴业矿业,2016,2017-04-29,0.2,0.0
38,000158,常山股份,2016,2017-04-29,0.6,3.0
39,000065,北方国际,2016,2017-04-29,0.9,0.0
40,000042,中洲控股,2016,2017-04-29,0.8,0.0
41,600295,鄂尔多斯,2016,2017-04-29,0.5,0.0
42,600746,江苏索普,2016,2017-04-29,0.4,0.0
43,600690,青岛海尔,2016,2017-04-29,2.5,0.0
44,600677,航天通信,2016,2017-04-29,0.2,0.0
45,600647,同达创业,2016,2017-04-29,1.1,0.0
46,600642,申能股份,2016,2017-04-29,2.2,0.0
47,600637,东方明珠,2016,2017-04-29,3.4,0.0
48,600613,神奇制药,2016,2017-04-29,0.3,0.0
49,600587,新华医疗,2016,2017-04-29,0.5,0.0
50,600500,中化国际,2016,2017-04-29,0.9,0.0
51,600388,龙净环保,2016,2017-04-29,1.9,0.0
52,600379,宝光股份,2016,2017-04-29,0.5,0.0
53,600297,广汇汽车,2016,2017-04-29,2.0,3.0
54,600236,桂冠电力,2016,2017-04-29,1.3,0.0
55,600210,紫江企业,2016,2017-04-29,1.0,0.0
56,600191,华资实业,2016,2017-04-29,0.1,0.0
57,600177,雅戈尔,2016,2017-04-29,5.0,4.0
58,600129,太极集团,2016,2017-04-29,3.0,0.0
59,600098,广州发展,2016,2017-04-29,1.0,0.0
