,code,xcode,name,ipo_date,issue_date,amount,markets,price,pe,limit,funds,ballot
104,002855,002855,捷荣技术,2017-03-08,2017-03-21,6000,5400,6.54,22.99,2.4,3.924,0.03
105,300625,300625,三雄极光,2017-03-07,2017-03-17,7000,6300,19.3,22.99,2.8,13.51,0.04
106,603517,732517,绝味食品,2017-03-07,2017-03-17,5000,4500,16.09,22.99,1.5,8.045,0.04
107,603179,732179,新泉股份,2017-03-07,2017-03-17,3985,3587,14.01,20.26,1.5,5.582999999999999,0.03
108,300628,300628,亿联网络,2017-03-06,2017-03-17,1867,1867,88.67,15.76,1.85,16.555,0.01
109,300621,300621,维业股份,2017-03-03,2017-03-16,3400,3060,8.6,22.99,1.35,2.924,0.03
110,603811,732811,诚意药业,2017-03-03,2017-03-15,2130,1917,15.76,20.67,0.8,3.3569999999999998,0.03
111,300623,300623,捷捷微电,2017-03-03,2017-03-14,2360,2124,27.63,22.99,0.85,6.521,0.03
112,603903,732903,中持股份,2017-03-02,2017-03-14,2561,2305,9.88,22.98,1.0,2.53,0.03
113,603960,732960,克来机电,2017-03-02,2017-03-14,2000,2000,9.51,22.99,2.0,1.902,0.02
114,300622,300622,博士眼镜,2017-03-02,2017-03-15,2145,1931,9.83,22.98,0.8,2.109,0.03
115,603665,732665,康隆达,2017-03-01,2017-03-13,2500,2250,21.4,22.99,1.0,5.35,0.03
116,603630,732630,拉芳家化,2017-03-01,2017-03-13,4360,3924,18.39,22.99,1.5,8.017999999999999,0.04
117,300620,300620,光库科技,2017-03-01,2017-03-10,2200,1980,11.43,22.99,0.85,2.515,0.02
118,002852,002852,道道全,2017-02-28,2017-03-10,2500,2250,47.3,22.99,1.0,11.825,0.02
119,603955,732955,大千生态,2017-02-28,2017-03-10,2175,1958,15.26,22.97,0.7,3.319,0.03
120,002853,002853,皮阿诺,2017-02-24,2017-03-10,1560,1560,31.03,22.99,1.55,4.841,0.01
121,603991,732991,至正股份,2017-02-24,2017-03-08,1870,1870,10.61,22.99,1.8,1.984,0.02
122,300618,300618,寒锐钴业,2017-02-23,2017-03-06,3000,2700,12.45,22.99,1.2,3.735,0.03
123,603908,732908,牧高笛,2017-02-23,2017-03-07,1669,1669,16.37,22.99,1.6,2.7319999999999998,0.01
124,300616,300616,尚品宅配,2017-02-23,2017-03-07,2700,2430,54.35,22.99,1.0,14.675,0.03
125,603138,732138,海量数据,2017-02-22,2017-03-06,2050,1845,9.99,19.82,0.8,2.048,0.02
126,603578,732578,三星新材,2017-02-22,2017-03-06,2200,1980,12.26,22.99,0.8,2.697,0.03
127,002851,002851,麦格米特,2017-02-22,2017-03-06,4450,4005,12.17,22.99,1.75,5.416,0.03
128,002850,002850,科达利,2017-02-21,2017-03-02,3500,3150,37.7,22.99,1.4,13.195,0.03
129,300617,300617,安靠智电,2017-02-15,2017-02-28,1667,1667,24.38,22.99,1.65,4.064,0.01
130,300619,300619,金银河,2017-02-15,2017-03-01,1868,1868,10.98,22.98,1.85,2.051,0.01
131,603238,732238,诺邦股份,2017-02-10,2017-02-22,3000,2700,13.31,22.99,1.2,3.9930000000000003,0.03
132,603345,732345,安井食品,2017-02-10,2017-02-22,5401,4861,11.12,22.99,2.1,6.006,0.04
133,600939,730939,重庆建工,2017-02-09,2017-02-21,18150,16335,3.12,22.92,5.4,5.662999999999999,0.09
134,300611,300611,美力科技,2017-02-09,2017-02-20,2237,2013,11.97,22.99,0.85,2.678,0.03
135,300613,300613,富瀚微,2017-02-08,2017-02-20,1111,1111,55.64,22.99,1.1,6.182,0.01
136,603817,732817,海峡环保,2017-02-08,2017-02-20,11250,10125,4.04,22.99,3.3,4.545,0.06
137,603603,732603,博天环境,2017-02-07,2017-02-17,4001,3601,6.74,22.97,1.2,2.697,0.04
138,002849,002849,威星智能,2017-02-07,2017-02-17,2167,1950,12.08,22.99,0.8,2.617,0.02
139,300615,300615,欣天科技,2017-02-03,2017-02-15,2000,2000,14.37,22.98,2.0,2.8739999999999997,0.02
140,601212,780212,白银有色,2017-02-03,2017-02-15,69800,62820,1.78,556.25,20.9,12.424000000000001,0.25
141,300612,300612,宣亚国际,2017-02-03,2017-02-15,1800,1800,16.14,22.98,1.8,2.905,0.02
142,300609,300609,汇纳科技,2017-01-26,2017-02-15,2500,2250,8.12,22.97,1.0,2.03,0.03
143,002848,002848,高斯贝尔,2017-01-26,2017-02-13,4180,3762,6.31,22.98,1.65,2.638,0.03
144,300610,300610,晨化股份,2017-01-25,2017-02-13,2500,2250,10.57,22.98,1.0,2.6430000000000002,0.03
145,603615,732615,茶花股份,2017-01-25,2017-02-13,6000,5400,8.37,22.98,2.4,5.022,0.04
146,603330,732330,上海天洋,2017-01-25,2017-02-13,1500,1500,18.19,22.99,1.5,2.728,0.01
