,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000088,盐田港,10,15843.36,13561.36,2282.00,日涨幅偏离值达到7%的前五只证券,0.35,0.06,2017-04-06
1,000595,*ST宝实,-4.9367,1885.93,1129.71,756.22,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,0.24,0.16,2017-04-06
2,000600,建投能源,10.0304,45141.74,30936.95,14204.79,日涨幅偏离值达到7%的前五只证券,0.28,0.13,2017-04-06
3,000786,北新建材,9.978,81205.77,27454.96,53750.81,日涨幅偏离值达到7%的前五只证券,0.10,0.20,2017-04-06
4,000897,津滨发展,10.099,21531.40,9012.96,12518.45,日涨幅偏离值达到7%的前五只证券,0.07,0.10,2017-04-06
5,000923,河北宣工,10,16278.67,11737.39,4541.28,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.20,0.08,2017-04-06
6,000958,东方能源,5.924,43861.16,14277.35,29583.81,日换手率达到20%的前五只证券,0.08,0.16,2017-04-06
7,000959,首钢股份,9.949,19849.67,4976.32,14873.35,日涨幅偏离值达到7%的前五只证券,0.12,0.35,2017-04-06
8,002346,柘中股份,-1.9467,10778.30,4560.89,6217.40,日换手率达到20%的前五只证券,0.05,0.06,2017-04-06
9,002457,青龙管业,9.9832,9708.38,5513.16,4195.21,日涨幅偏离值达到7%的前五只证券,0.19,0.15,2017-04-06
10,002477,雏鹰农牧,10.0193,30411.21,11334.95,19076.26,日涨幅偏离值达到7%的前五只证券,0.05,0.08,2017-04-06
11,002494,华斯股份,10.0402,12296.30,8244.03,4052.27,日涨幅偏离值达到7%的前五只证券,0.14,0.07,2017-04-06
12,002774,快意电梯,10.0193,302.30,261.05,41.25,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.16,2017-04-06
13,002819,东方中科,1.6883,30843.20,16186.94,14656.26,日换手率达到20%的前五只证券,0.18,0.16,2017-04-06
14,002836,新宏泽,9.9985,16451.66,9579.77,6871.88,日涨幅偏离值达到7%的前五只证券,0.19,0.13,2017-04-06
15,002836,新宏泽,9.9985,16451.66,9579.77,6871.88,日换手率达到20%的前五只证券,0.19,0.13,2017-04-06
16,002853,皮阿诺,-10.0028,15147.10,6964.25,8182.85,日跌幅偏离值达到7%的前五只证券,0.08,0.09,2017-04-06
17,002853,皮阿诺,-10.0028,15147.10,6964.25,8182.85,日换手率达到20%的前五只证券,0.08,0.09,2017-04-06
18,002853,皮阿诺,-10.0028,15147.10,6964.25,8182.85,日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,0.08,0.09,2017-04-06
19,002855,捷荣技术,9.991,1181.85,1146.76,35.10,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.03,2017-04-06
20,002856,美芝股份,9.9951,13463.84,9659.34,3804.50,日涨幅偏离值达到7%的前五只证券,0.16,0.06,2017-04-06
21,002856,美芝股份,9.9951,13463.84,9659.34,3804.50,日换手率达到20%的前五只证券,0.16,0.06,2017-04-06
22,002857,三晖电气,10,197.95,164.81,33.15,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.20,2017-04-06
23,002858,力盛赛车,9.989,34.47,26.98,7.49,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.28,2017-04-06
24,300011,鼎汉技术,10.0257,29292.67,8169.60,21123.07,日涨幅偏离值达到7%的前五只证券,0.23,0.58,2017-04-06
25,300099,精准信息,10.0079,19531.79,11085.77,8446.02,日涨幅偏离值达到7%的前五只证券,0.10,0.08,2017-04-06
26,300223,北京君正,-10,1215.32,305.79,909.53,日跌幅偏离值达到7%的前五只证券,0.34,1.00,2017-04-06
27,300535,达威股份,10.0067,5729.56,4565.68,1163.88,日涨幅偏离值达到7%的前五只证券,0.25,0.06,2017-04-06
28,300602,飞荣达,-6.1957,5477.02,2049.13,3427.89,日换手率达到20%的前五只证券,0.05,0.09,2017-04-06
29,300607,拓斯达,9.9988,4934.01,3433.36,1500.64,日涨幅偏离值达到7%的前五只证券,0.17,0.07,2017-04-06
30,300618,寒锐钴业,-2.7597,25984.02,11168.28,14815.74,日换手率达到20%的前五只证券,0.10,0.13,2017-04-06
31,300621,维业股份,9.9881,12978.11,10132.42,2845.68,日涨幅偏离值达到7%的前五只证券,0.16,0.04,2017-04-06
32,300621,维业股份,9.9881,12978.11,10132.42,2845.68,日换手率达到20%的前五只证券,0.16,0.04,2017-04-06
33,300622,博士眼镜,6.3181,10067.53,4292.48,5775.05,日换手率达到20%的前五只证券,0.08,0.10,2017-04-06
34,300628,亿联网络,3.5745,27886.75,15631.62,12255.13,日换手率达到20%的前五只证券,0.08,0.07,2017-04-06
35,300629,新劲刚,9.9905,37.16,28.29,8.87,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.01,0.32,2017-04-06
36,300630,普利制药,9.9876,47.60,40.94,6.66,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.16,2017-04-06
37,300632,光莆股份,43.9784,8.66,6.00,2.66,无价格涨跌幅限制的证券,1.00,0.44,2017-04-06
38,300633,开立医疗,43.9771,9.44,7.56,1.88,无价格涨跌幅限制的证券,0.95,0.24,2017-04-06
39,600550,保变电气,10.0257,4561.87,3562.83,999.04,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.92,0.26,2017-04-06
40,600649,城投控股,-9.7694,132377.46,17070.82,115306.63,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.04,0.27,2017-04-06
41,601228,广州港,10.0228,90.10,84.06,6.04,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.07,2017-04-06
42,603036,如通股份,10.0073,15274.37,12696.93,2577.44,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.13,0.03,2017-04-06
43,603041,美思德,9.9956,34.85,24.21,10.64,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.44,2017-04-06
44,603178,圣龙股份,10.0252,86.80,67.19,19.60,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.29,2017-04-06
45,603178,圣龙股份,10.0252,112.07,92.47,19.60,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.21,2017-04-06
46,603303,得邦照明,10.0123,93.49,71.26,22.23,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.31,2017-04-06
47,603330,上海天洋,-9.9959,32401.74,12463.82,19937.92,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.20,0.32,2017-04-06
48,603330,上海天洋,-9.9959,32401.74,12463.82,19937.92,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.20,0.32,2017-04-06
49,603388,元成股份,10.0097,175.66,155.42,20.24,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.13,2017-04-06
50,603586,金麒麟,43.9869,59.84,44.45,15.38,无价格涨跌幅限制的证券,1.00,0.35,2017-04-06
51,603768,常青股份,9.1155,9009.35,4554.96,4454.39,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.05,0.05,2017-04-06
52,603768,常青股份,9.1155,10924.26,6128.78,4795.48,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.03,0.03,2017-04-06
53,603822,嘉澳环保,10.0051,21315.51,15446.94,5868.57,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.40,0.15,2017-04-06
54,603833,欧派家居,10.001,36790.23,32975.03,3815.20,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.22,0.02,2017-04-06
55,603960,克来机电,7.8594,13235.52,6655.32,6580.20,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.12,0.12,2017-04-06
