,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000018,神州长城,9.9668,23235.82,12591.95,10643.87,日涨幅偏离值达到7%的前五只证券,0.36,0.31,2017-05-04
1,000040,东旭蓝天,-9.2157,12595.06,5242.05,7353.01,日跌幅偏离值达到7%的前五只证券,0.10,0.15,2017-05-04
2,000605,渤海股份,-2.0073,24433.07,13682.45,10750.62,日换手率达到20%的前五只证券,0.09,0.07,2017-05-04
3,000615,京汉股份,2.0679,23305.47,14440.00,8865.47,日换手率达到20%的前五只证券,0.08,0.05,2017-05-04
4,000652,泰达股份,7.3025,19690.55,14842.49,4848.06,日涨幅偏离值达到7%的前五只证券,0.12,0.04,2017-05-04
5,000712,锦龙股份,-10.0147,12204.98,4772.99,7431.99,日跌幅偏离值达到7%的前五只证券,0.26,0.40,2017-05-04
6,000778,新兴铸管,10,61415.77,49622.86,11792.91,日涨幅偏离值达到7%的前五只证券,0.25,0.06,2017-05-04
7,000856,冀东装备,-4.4522,69435.37,21792.36,47643.01,日换手率达到20%的前五只证券,0.06,0.14,2017-05-04
8,000877,天山股份,5.1681,73182.39,38050.67,35131.71,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.06,0.06,2017-05-04
9,000877,天山股份,5.1681,42986.41,11677.47,31308.94,日换手率达到20%的前五只证券,0.04,0.10,2017-05-04
10,000923,河北宣工,-3.2309,15974.07,8192.89,7781.17,日换手率达到20%的前五只证券,0.05,0.05,2017-05-04
11,002137,麦达数字,9.9712,22352.83,12777.62,9575.21,日涨幅偏离值达到7%的前五只证券,0.31,0.23,2017-05-04
12,002137,麦达数字,9.9712,30181.55,19272.33,10909.22,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.29,0.17,2017-05-04
13,002248,*ST东数,-5.0051,517.43,284.06,233.37,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券,0.69,0.57,2017-05-04
14,002323,雅百特,10.0086,6270.28,4561.89,1708.39,日涨幅偏离值达到7%的前五只证券,0.20,0.08,2017-05-04
15,002373,千方科技,10.0147,20046.02,8951.30,11094.72,日涨幅偏离值达到7%的前五只证券,0.37,0.45,2017-05-04
16,002457,青龙管业,10.0139,47825.07,32426.12,15398.95,日涨幅偏离值达到7%的前五只证券,0.10,0.05,2017-05-04
17,002457,青龙管业,10.0139,47825.07,32426.12,15398.95,日换手率达到20%的前五只证券,0.10,0.05,2017-05-04
18,002542,中化岩土,7.3684,49859.56,22533.74,27325.82,日振幅值达到15%的前五只证券,0.06,0.08,2017-05-04
19,002795,永和智控,9.9923,8313.89,5098.70,3215.20,日涨幅偏离值达到7%的前五只证券,0.18,0.11,2017-05-04
20,002807,江阴银行,2.7907,31221.98,12759.33,18462.65,日振幅值达到15%的前五只证券,0.07,0.11,2017-05-04
21,002807,江阴银行,2.7907,31221.98,12759.33,18462.65,日换手率达到20%的前五只证券,0.07,0.11,2017-05-04
22,002819,东方中科,3.7027,8117.78,2786.78,5331.00,日换手率达到20%的前五只证券,0.07,0.13,2017-05-04
