,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
17,002795,永和智控,-10.0033,5755.94,2609.28,3146.65,日跌幅偏离值达到7%的前五只证券,0.08,0.10,2017-04-10
18,002819,东方中科,-0.1404,39981.47,15457.94,24523.53,日换手率达到20%的前五只证券,0.16,0.25,2017-04-10
19,002836,新宏泽,-8.0083,8709.99,4329.00,4380.99,日换手率达到20%的前五只证券,0.12,0.12,2017-04-10
20,002839,张家港行,-9.9845,25099.28,11691.24,13408.04,日跌幅偏离值达到7%的前五只证券,0.08,0.09,2017-04-10
21,002839,张家港行,-9.9845,43925.08,16654.43,27270.65,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.05,0.08,2017-04-10
22,002839,张家港行,-9.9845,25099.28,11691.24,13408.04,日换手率达到20%的前五只证券,0.08,0.09,2017-04-10
23,002851,麦格米特,-10.0017,11850.80,5503.63,6347.17,日跌幅偏离值达到7%的前五只证券,0.11,0.12,2017-04-10
24,002853,皮阿诺,-9.9991,4475.98,2401.34,2074.64,日跌幅偏离值达到7%的前五只证券,0.06,0.05,2017-04-10
25,002855,捷荣技术,5.3199,7866.84,5229.23,2637.61,日换手率达到20%的前五只证券,0.05,0.03,2017-04-10
26,002855,捷荣技术,5.3199,7866.84,5229.23,2637.61,日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,0.05,0.03,2017-04-10
27,002856,美芝股份,-9.7315,4605.06,2444.42,2160.64,日换手率达到20%的前五只证券,0.08,0.07,2017-04-10
28,002857,三晖电气,10.0144,310.16,294.72,15.44,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.05,2017-04-10
29,002858,力盛赛车,10.0152,92.30,81.99,10.31,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.13,2017-04-10
30,300075,数字政通,10.009,28109.17,13520.42,14588.75,日涨幅偏离值达到7%的前五只证券,0.13,0.14,2017-04-10
31,300107,建新股份,10,14642.91,8072.74,6570.17,日涨幅偏离值达到7%的前五只证券,0.15,0.12,2017-04-10
32,300222,科大智能,-10,11328.06,6472.63,4855.44,日跌幅偏离值达到7%的前五只证券,0.06,0.05,2017-04-10
33,300371,汇中股份,9.9967,8794.69,7294.64,1500.05,日涨幅偏离值达到7%的前五只证券,0.62,0.13,2017-04-10
34,300374,恒通科技,9.7913,27839.57,14906.11,12933.46,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.20,0.17,2017-04-10
35,300377,赢时胜,-10.0081,10674.58,3812.44,6862.14,日跌幅偏离值达到7%的前五只证券,0.08,0.14,2017-04-10
36,300397,天和防务,4.4878,16363.94,3992.05,12371.89,日换手率达到20%的前五只证券,0.05,0.15,2017-04-10
37,300398,飞凯材料,-10.0134,10276.70,7073.16,3203.53,日跌幅偏离值达到7%的前五只证券,0.15,0.07,2017-04-10
38,300407,凯发电气,6.9855,24066.22,11794.95,12271.27,日换手率达到20%的前五只证券,0.14,0.14,2017-04-10
39,300428,四通新材,10.0138,15428.09,7165.64,8262.45,日涨幅偏离值达到7%的前五只证券,0.08,0.10,2017-04-10
40,300428,四通新材,10.0138,15428.09,7165.64,8262.45,日换手率达到20%的前五只证券,0.08,0.10,2017-04-10
41,300613,富瀚微,-9.9995,9124.39,2211.46,6912.93,日跌幅偏离值达到7%的前五只证券,0.05,0.16,2017-04-10
42,300618,寒锐钴业,-10.0039,17799.44,9136.35,8663.10,日跌幅偏离值达到7%的前五只证券,0.14,0.13,2017-04-10
43,300621,维业股份,-9.9616,3387.01,1709.25,1677.76,日换手率达到20%的前五只证券,0.05,0.05,2017-04-10
44,300622,博士眼镜,-9.8018,6403.73,3866.54,2537.19,日换手率达到20%的前五只证券,0.13,0.08,2017-04-10
45,300626,华瑞股份,9.997,3677.88,2626.96,1050.92,日涨幅偏离值达到7%的前五只证券,0.18,0.07,2017-04-10
46,300629,新劲刚,10.0196,41.78,34.75,7.03,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.99,0.20,2017-04-10
47,300630,普利制药,9.9932,102.92,91.52,11.40,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.99,0.12,2017-04-10
48,300632,光莆股份,10,6.26,3.16,3.10,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.05,1.03,2017-04-10
49,300633,开立医疗,10.0242,8.48,6.20,2.28,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.03,0.38,2017-04-10
50,600008,首创股份,10.0352,18129.75,11682.56,6447.19,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.50,0.28,2017-04-10
51,600155,宝硕股份,10.0175,36903.55,11657.96,25245.59,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.06,0.12,2017-04-10
52,600246,万通地产,10.0719,12545.44,3889.72,8655.73,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.09,0.19,2017-04-10
53,600480,凌云股份,6.0105,29050.10,10107.33,18942.76,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.04,0.07,2017-04-10
54,601000,唐山港,10.0855,5252.21,3197.20,2055.00,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.43,0.28,2017-04-10
55,601200,上海环境,-9.5177,52737.66,19870.78,32866.87,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.07,0.11,2017-04-10
56,601212,白银有色,-10.0075,19761.49,7256.67,12504.82,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.04,0.06,2017-04-10
57,603041,美思德,9.9853,75.07,59.49,15.58,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.26,2017-04-10
58,603078,江化微,44.0033,33.78,18.11,15.67,无价格涨跌幅限制的证券,1.00,0.87,2017-04-10
59,603126,中材节能,9.987,30403.30,11330.67,19072.63,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.06,0.10,2017-04-10
60,603126,中材节能,9.987,29541.18,10704.18,18837.00,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.07,0.12,2017-04-10
61,603133,碳元科技,6.5223,10428.96,6840.62,3588.34,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.06,0.03,2017-04-10
62,603178,圣龙股份,10,197.55,179.43,18.12,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.10,2017-04-10
63,603303,得邦照明,10.0051,320.07,288.52,31.55,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.11,2017-04-10
64,603330,上海天洋,-6.1471,37097.00,14692.58,22404.42,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,0.14,0.21,2017-04-10
65,603385,惠达卫浴,9.9913,85.24,72.29,12.95,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.18,2017-04-10
66,603388,元成股份,10.0107,805.88,766.83,39.04,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.05,2017-04-10
67,603586,金麒麟,10.0148,77.85,55.33,22.52,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.41,2017-04-10
68,603603,博天环境,3.0944,22958.09,11009.38,11948.71,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.09,0.10,2017-04-10
69,603903,中持股份,9.9967,6398.62,4045.78,2352.84,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.68,0.39,2017-04-10
70,603906,龙蟠科技,44.0126,22.62,15.77,6.86,无价格涨跌幅限制的证券,1.00,0.43,2017-04-10
71,603960,克来机电,-10.0056,7454.90,3223.82,4231.08,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.11,0.14,2017-04-10
72,603966,法兰泰克,-10.0088,4419.81,2629.38,1790.43,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.10,0.06,2017-04-10
