,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000402,金融街,9.9737,43816.26,26040.10,17776.16,日涨幅偏离值达到7%的前五只证券,0.19,0.13,2017-04-10
1,000709,河钢股份,9.9792,109512.91,48810.69,60702.22,日涨幅偏离值达到7%的前五只证券,0.11,0.14,2017-04-10
2,000778,新兴铸管,9.9448,83535.90,41703.44,41832.46,日涨幅偏离值达到7%的前五只证券,0.08,0.08,2017-04-10
3,000856,冀东装备,10.0322,980.84,651.02,329.82,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.51,2017-04-10
4,000897,津滨发展,9.9476,26635.39,20623.38,6012.01,日涨幅偏离值达到7%的前五只证券,0.16,0.05,2017-04-10
5,000923,河北宣工,10.006,25660.82,17951.57,7709.25,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.50,0.21,2017-04-10
6,000958,东方能源,9.9882,35816.43,14436.55,21379.88,日涨幅偏离值达到7%的前五只证券,0.07,0.11,2017-04-10
7,000958,东方能源,9.9882,65198.77,23538.94,41659.83,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.05,0.08,2017-04-10
8,000958,东方能源,9.9882,35816.43,14436.55,21379.88,日换手率达到20%的前五只证券,0.07,0.11,2017-04-10
9,002146,荣盛发展,9.9914,130220.77,45958.51,84262.25,日涨幅偏离值达到7%的前五只证券,0.13,0.25,2017-04-10
10,002302,西部建设,10,32256.59,21708.21,10548.38,日涨幅偏离值达到7%的前五只证券,0.10,0.05,2017-04-10
11,002383,合众思壮,-10.0019,24541.94,11418.74,13123.20,日跌幅偏离值达到7%的前五只证券,0.20,0.23,2017-04-10
12,002431,棕榈股份,10,43186.54,21043.54,22143.01,日涨幅偏离值达到7%的前五只证券,0.18,0.19,2017-04-10
13,002494,华斯股份,9.9855,16578.24,9732.17,6846.06,日涨幅偏离值达到7%的前五只证券,0.14,0.10,2017-04-10
14,002494,华斯股份,9.9855,26050.33,13510.74,12539.59,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.06,0.06,2017-04-10
15,002616,长青集团,10.0147,18170.94,12493.81,5677.13,日涨幅偏离值达到7%的前五只证券,0.17,0.08,2017-04-10
16,002774,快意电梯,9.9788,733.75,726.00,7.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.01,2017-04-10
