,time,price,pchange,change,volume,amount,type
0,15:00:00,18.32,-2.14,0.0,0,0,卖盘
1,15:00:00,18.32,-2.14,-0.03,0,0,卖盘
2,14:59:58,18.35,-1.98,0.01,1,1835,买盘
3,14:59:49,18.34,-2.03,0.0,10,18340,卖盘
4,14:59:46,18.34,-2.03,0.02,52,95368,买盘
5,14:59:34,18.32,-2.14,0.0,3,5496,卖盘
6,14:59:31,18.32,-2.14,0.01,5,9160,卖盘
7,14:59:28,18.31,-2.19,0.0,5,9155,卖盘
8,14:59:25,18.31,-2.19,-0.02,5,9155,卖盘
9,14:59:22,18.33,-2.08,0.02,5,9165,买盘
10,14:59:10,18.31,-2.19,0.0,9,16479,卖盘
11,14:59:04,18.31,-2.19,0.01,15,27465,买盘
12,14:58:52,18.3,-2.24,0.0,5,9150,卖盘
13,14:58:43,18.3,-2.24,0.01,14,25620,买盘
14,14:58:40,18.29,-2.30,-0.01,10,18290,卖盘
15,14:58:34,18.3,-2.24,0.0,8,14640,买盘
16,14:58:28,18.3,-2.24,0.0,5,9150,买盘
17,14:58:22,18.3,-2.24,0.0,4,7320,卖盘
18,14:58:10,18.3,-2.24,0.0,8,14640,卖盘
19,14:58:07,18.3,-2.24,-0.01,64,117120,卖盘
20,14:57:58,18.31,-2.19,0.01,4,7324,买盘
21,14:57:55,18.3,-2.24,-0.01,10,18300,卖盘
22,14:57:43,18.31,-2.19,-0.01,8,14648,卖盘
23,14:57:37,18.32,-2.14,0.01,7,12824,买盘
24,14:57:27,18.31,-2.19,0.0,3,5493,卖盘
25,14:57:22,18.31,-2.19,-0.01,10,18310,卖盘
26,14:57:19,18.32,-2.14,0.01,1,1832,买盘
27,14:57:07,18.31,-2.19,-0.01,13,23803,卖盘
28,14:57:04,18.32,-2.14,0.0,10,18320,买盘
29,14:56:48,18.32,-2.14,-0.01,36,65952,卖盘
30,14:56:36,18.33,-2.08,0.01,10,18330,卖盘
31,14:56:03,18.32,-2.14,0.0,0,0,卖盘
32,14:56:00,18.32,-2.14,0.0,10,18320,卖盘
33,14:55:57,18.32,-2.14,-0.03,14,25648,卖盘
34,14:55:51,18.35,-1.98,0.02,2,3670,买盘
35,14:55:45,18.33,-2.08,0.0,7,12831,买盘
36,14:55:39,18.33,-2.08,0.01,20,36660,买盘
37,14:55:36,18.32,-2.14,0.0,50,91600,卖盘
38,14:55:33,18.32,-2.14,-0.01,5,9160,卖盘
39,14:55:27,18.33,-2.08,0.0,42,76986,买盘
