,time,price,change,volume,amount,type
0,15:00:00,6.05,--,8,4840,卖盘
1,14:59:55,6.05,--,50,30250,卖盘
2,14:59:35,6.05,--,20,12100,卖盘
3,14:59:30,6.05,-0.01,165,99825,卖盘
4,14:59:20,6.06,0.01,4,2424,买盘
5,14:59:05,6.05,-0.01,2,1210,卖盘
6,14:58:55,6.06,--,4,2424,买盘
7,14:58:45,6.06,--,2,1212,买盘
8,14:58:35,6.06,0.01,2,1212,买盘
9,14:58:25,6.05,-0.01,20,12100,卖盘
10,14:58:05,6.06,--,5,3030,买盘
11,14:58:05,6.06,0.01,30,18180,买盘
12,14:58:00,6.05,-0.01,22,13310,卖盘
13,14:57:55,6.06,--,100,60599,买盘
14,14:57:50,6.06,--,4,2424,买盘
15,14:57:35,6.06,--,123,74538,买盘
16,14:57:10,6.06,0.01,20,12120,买盘
17,14:56:45,6.05,-0.01,7,4719,卖盘
18,14:56:40,6.06,0.01,32,19392,中性盘
19,14:56:05,6.05,-0.02,339,205095,卖盘
20,14:55:50,6.07,--,108,65556,买盘
21,14:55:45,6.07,0.01,10,6070,买盘
22,14:55:40,6.06,-0.01,7,4726,卖盘
23,14:55:35,6.07,0.01,10,6070,买盘
24,14:55:25,6.06,-0.01,3,1817,卖盘
25,14:55:15,6.07,--,3,1821,买盘
26,14:55:15,6.07,0.01,5,3035,买盘
27,14:55:05,6.06,-0.01,13,7877,卖盘
28,14:54:50,6.07,0.01,51,30957,买盘
29,14:54:30,6.06,-0.01,17,10786,卖盘
30,14:53:55,6.07,0.01,1,607,买盘
31,14:53:35,6.06,-0.01,7,4726,卖盘
32,14:53:15,6.07,--,20,12261,卖盘
33,14:53:05,6.07,--,12,7284,卖盘
34,14:53:00,6.07,--,18,10926,卖盘
35,14:52:40,6.07,-0.01,12,7769,卖盘
36,14:52:10,6.08,0.01,11,6688,买盘
37,14:51:40,6.07,0.01,40,24280,买盘
38,14:51:35,6.06,--,20,12120,卖盘
39,14:51:20,6.06,--,20,12120,卖盘
40,14:50:10,6.06,--,10,6060,卖盘
41,14:50:05,6.06,-0.02,1,606,中性盘
42,14:49:40,6.08,0.03,17,10336,买盘
43,14:49:30,6.05,-0.03,422,255310,卖盘
44,14:49:10,6.08,0.02,6,3648,买盘
45,14:48:20,6.06,-0.02,2,1212,卖盘
46,14:48:15,6.08,0.02,1,608,买盘
47,14:47:25,6.06,-0.02,32,19392,卖盘
48,14:47:00,6.08,--,16,10032,卖盘
49,14:46:40,6.08,0.01,86,52592,买盘
50,14:46:15,6.07,--,36,21852,买盘
51,14:46:10,6.07,0.01,7,4249,买盘
52,14:46:00,6.06,-0.01,126,76356,卖盘
53,14:45:40,6.07,--,10,6070,买盘
54,14:45:35,6.07,--,10,6070,买盘
55,14:45:00,6.07,-0.01,107,64949,卖盘
56,14:44:30,6.08,--,13,8208,卖盘
57,14:44:20,6.08,-0.01,50,30400,卖盘
58,14:44:05,6.09,--,15,9135,买盘
59,14:43:50,6.09,--,1,609,卖盘
60,14:43:40,6.09,0.01,4,2436,买盘
61,14:43:30,6.08,-0.01,50,30400,卖盘
62,14:43:05,6.09,0.01,10,6090,买盘
63,14:42:45,6.08,--,5,3040,卖盘
64,14:42:10,6.08,--,29,17632,卖盘
65,14:41:10,6.08,--,9,5593,卖盘
66,14:40:10,6.08,-0.02,9,5593,卖盘
67,14:39:50,6.1,--,13,7929,买盘
68,14:39:25,6.1,--,29,17690,卖盘
69,14:39:15,6.1,0.02,21,12810,买盘
70,14:39:10,6.08,-0.02,9,5593,卖盘
71,14:38:55,6.1,0.02,92,56120,买盘
72,14:38:15,6.08,-0.01,9,5593,卖盘
73,14:38:05,6.09,0.01,10,6090,中性盘
74,14:37:55,6.08,-0.01,50,30400,卖盘
75,14:37:30,6.09,0.01,26,15834,买盘
76,14:37:05,6.08,-0.01,9,5593,卖盘
77,14:36:55,6.09,0.01,2,1218,买盘
