,time,price,change,volume,amount,type
0,14:59:45,2.5,--,5,1250,卖盘
1,14:59:20,2.5,--,295,73920,买盘
2,14:59:15,2.5,0.01,126,31500,买盘
3,14:59:05,2.49,--,12,2988,卖盘
4,14:58:55,2.49,-0.01,28,6972,卖盘
5,14:58:45,2.5,0.01,125,31250,买盘
6,14:58:30,2.49,-0.01,5,1245,卖盘
7,14:58:25,2.5,0.01,20,5000,买盘
8,14:58:20,2.49,-0.01,9,2241,卖盘
9,14:57:55,2.5,--,100,25000,买盘
10,14:57:40,2.5,--,27,6750,买盘
11,14:57:35,2.5,0.01,1,250,买盘
12,14:57:30,2.49,--,69,17181,卖盘
13,14:57:00,2.49,--,300,74700,卖盘
14,14:56:15,2.49,-0.01,51,12699,卖盘
15,14:56:05,2.5,--,121,30250,买盘
16,14:56:00,2.5,--,12,3000,买盘
17,14:55:50,2.5,--,12,3000,买盘
18,14:55:45,2.5,--,36,9000,买盘
19,14:55:25,2.5,--,10,2500,买盘
20,14:54:30,2.5,0.01,2,500,买盘
21,14:54:30,2.49,--,10,2490,卖盘
22,14:54:20,2.49,-0.01,16,3984,卖盘
23,14:54:10,2.5,0.01,50,12500,买盘
24,14:54:00,2.49,--,1,249,卖盘
25,14:53:55,2.49,--,42,10458,卖盘
26,14:53:40,2.49,-0.01,11,2739,卖盘
27,14:53:30,2.5,0.01,40,10000,买盘
28,14:53:10,2.49,-0.01,50,12450,卖盘
29,14:53:05,2.5,0.01,15,3750,买盘
30,14:52:30,2.49,-0.01,200,49800,卖盘
31,14:51:35,2.5,0.01,2,500,买盘
32,14:51:30,2.49,--,25,6225,卖盘
33,14:51:20,2.49,-0.01,20,4980,卖盘
34,14:50:35,2.5,--,5,1250,买盘
35,14:50:20,2.5,0.01,30,7500,买盘
36,14:50:15,2.49,-0.01,700,174300,卖盘
37,14:49:50,2.5,--,30,7580,卖盘
38,14:49:30,2.5,--,36,9000,卖盘
39,14:49:25,2.5,--,423,105920,买盘
40,14:49:10,2.5,--,4,1000,买盘
41,14:49:05,2.5,0.01,28,7000,买盘
42,14:48:40,2.49,-0.01,20,4980,卖盘
43,14:48:30,2.5,0.01,52,13000,买盘
44,14:48:25,2.49,--,37,9213,卖盘
45,14:48:20,2.49,--,357,88893,卖盘
46,14:47:45,2.49,-0.01,1,249,卖盘
47,14:46:35,2.5,--,45,11250,买盘
48,14:46:15,2.5,--,12,3000,买盘
49,14:46:00,2.5,--,12,3000,买盘
50,14:45:55,2.5,--,12,3000,买盘
51,14:45:35,2.5,--,10,2500,买盘
52,14:45:30,2.5,0.01,39,9750,买盘
53,14:45:05,2.49,-0.01,26,6474,卖盘
54,14:44:55,2.5,--,5,1250,买盘
55,14:44:05,2.5,--,5,1250,买盘
56,14:44:00,2.5,--,16,4000,买盘
57,14:43:40,2.5,--,43,10955,卖盘
58,14:43:35,2.5,-0.01,8,2000,卖盘
59,14:43:35,2.51,0.01,38,9538,买盘
60,14:43:25,2.5,--,10,2500,卖盘
61,14:43:20,2.5,--,118,29500,卖盘
62,14:43:15,2.5,--,32,8000,卖盘
63,14:43:05,2.5,--,1562,390500,卖盘
64,14:42:55,2.5,-0.01,900,225000,卖盘
65,14:42:20,2.51,0.01,9,2259,买盘
66,14:42:10,2.5,--,19,4750,卖盘
67,14:41:55,2.5,--,150,37500,卖盘
68,14:41:30,2.5,--,15,3750,卖盘
69,14:40:30,2.5,--,10,2500,卖盘
70,14:40:20,2.5,-0.01,10,2500,卖盘
71,14:40:15,2.51,0.01,12,3011,买盘
72,14:39:35,2.5,-0.01,2,500,卖盘
73,14:39:15,2.51,--,12,3011,买盘
74,14:38:00,2.51,0.01,50,12549,买盘
75,14:37:20,2.5,-0.01,60,15000,卖盘
76,14:36:55,2.51,0.01,10,2510,买盘
77,14:36:30,2.5,--,20,5000,卖盘
78,14:35:45,2.5,--,30,7502,卖盘
79,14:35:40,2.5,--,80,20000,卖盘
80,14:35:25,2.5,--,32,8000,卖盘
81,14:32:55,2.5,-0.01,42,10500,卖盘
82,14:32:45,2.51,--,70,17570,卖盘
83,14:32:40,2.51,--,2,501,卖盘
84,14:32:25,2.51,--,33,8453,买盘
85,14:32:20,2.51,--,1,250,买盘
86,14:32:15,2.51,0.01,257,64506,买盘
87,14:31:50,2.5,--,3,750,卖盘
88,14:31:50,2.5,--,192,48000,卖盘
89,14:31:25,2.5,--,50,12500,卖盘
90,14:31:20,2.5,--,179,44750,卖盘
91,14:31:15,2.5,--,61,15360,卖盘
92,14:30:40,2.5,--,1,250,卖盘
93,14:30:24,2.5,-0.01,100,25000,卖盘
94,14:30:19,2.51,--,39,9969,卖盘
95,14:30:10,2.51,0.01,936,235006,买盘
96,14:29:54,2.5,-0.01,1,250,卖盘
97,14:29:24,2.51,--,5,1255,买盘
98,14:29:15,2.51,0.01,12,3011,买盘
99,14:29:09,2.5,--,31,7860,卖盘
100,14:28:54,2.5,--,400,100000,卖盘
101,14:28:34,2.5,--,2,500,卖盘
102,14:28:24,2.5,--,232,58000,卖盘
