,code,name,date,nums,nlast,count,clast,amount,ratio
75,601311,骆驼股份,2015-03-31,7,-64,3587.34,-1466.98,68267.16,4.23
76,601299,中国北车,2015-03-31,20,-167,6830.48,-50182.78,125749.05,0.67
77,601288,农业银行,2015-03-31,23,-134,18079.99,-150459.09,66353.56,0.06
78,601258,庞大集团,2015-03-31,2,-90,1307.38,-4711.88,10929.68,0.20
79,601238,广汽集团,2015-03-31,1,-33,120.34,-1043.58,1182.97,0.03
80,601233,桐昆股份,2015-03-31,6,-75,1986.31,-3354.07,24729.59,2.06
81,601231,环旭电子,2015-03-31,5,-95,305.09,-2547.34,11422.61,0.14
82,601226,华电重工,2015-03-31,6,-20,20.80,-65.46,425.47,0.05
83,601225,陕西煤业,2015-03-31,2,-106,1315.62,-6299.61,10735.44,0.13
84,601222,林洋能源,2015-03-31,10,-27,2800.63,-88.77,105051.66,1.61
85,601218,吉鑫科技,2015-03-31,1,-23,50.00,-2539.52,532.50,0.05
86,601216,君正集团,2015-03-31,10,-71,489.23,-1429.02,9774.90,0.06
87,601208,东材科技,2015-03-31,1,-65,780.53,-6651.78,8492.17,1.25
88,601199,江南水务,2015-03-31,2,-7,419.53,-219.20,10836.41,0.45
89,601186,中国铁建,2015-03-31,18,-133,2244.28,-16081.71,41721.09,0.20
90,601169,北京银行,2015-03-31,9,-165,2263.47,-46554.91,24694.44,0.15
91,601168,西部矿业,2015-03-31,7,-85,2131.97,-6254.90,21298.36,0.89
92,601166,兴业银行,2015-03-31,305,-128,152786.06,-2412.78,2805152.11,8.02
93,601139,深圳燃气,2015-03-31,9,-26,6618.34,4371.65,71875.15,3.03
94,601126,四方股份,2015-03-31,14,-44,1193.22,203.19,33207.35,1.47
95,601117,中国化学,2015-03-31,1,-129,134.04,-18152.84,1308.23,0.03
96,601111,中国国航,2015-03-31,3,-109,3527.62,-7224.44,33265.43,0.41
97,601100,恒立液压,2015-03-31,1,-30,2101.56,-3662.08,31292.29,3.34
98,601099,太平洋,2015-03-31,27,-62,8173.32,-19758.39,113037.05,1.26
99,601098,中南传媒,2015-03-31,12,-117,1324.62,-4808.99,29671.55,0.74
100,601088,中国神华,2015-03-31,15,-189,5435.06,-25279.21,109190.33,0.33
101,601058,赛轮金宇,2015-03-31,14,-40,791.18,-3894.77,15763.75,0.35
102,601028,玉龙股份,2015-03-31,1,-5,35.00,-262.47,833.70,0.04
103,601012,隆基股份,2015-03-31,8,-78,1238.25,-2348.35,64005.01,0.70
104,601010,文峰股份,2015-03-31,8,-41,363.77,-461.29,10694.70,0.20
105,601009,南京银行,2015-03-31,15,-151,1238.18,-15327.51,18386.91,0.21
106,601006,大秦铁路,2015-03-31,10,-184,3817.02,-43405.12,42101.72,0.26
107,601000,唐山港,2015-03-31,16,-47,4841.01,-5709.94,71211.24,1.21
108,600999,招商证券,2015-03-31,32,-189,25653.63,-10139.02,814745.56,5.44
109,600998,九州通,2015-03-31,11,-125,601.03,-7064.50,16282.02,0.37
110,600997,开滦股份,2015-03-31,1,-51,93.16,-4664.87,695.87,0.08
111,600993,马应龙,2015-03-31,14,-54,730.42,-2696.25,21394.03,1.70
112,600992,贵绳股份,2015-03-31,1,-4,30.24,-172.57,417.56,0.12
113,600990,四创电子,2015-03-31,10,-65,1073.77,-2968.20,70482.30,7.85
114,600987,航民股份,2015-03-31,1,-21,35.00,-1472.77,449.40,0.06
115,600986,科达股份,2015-03-31,6,5,2171.01,1971.01,37167.77,4.80
116,600983,惠而浦,2015-03-31,1,-51,35.00,-4180.63,494.55,0.07
117,600979,广安爱众,2015-03-31,6,-32,1628.03,-7543.49,14245.27,2.27
118,600978,宜华生活,2015-03-31,2,-58,984.06,-4408.53,9250.15,0.66
119,600976,健民集团,2015-03-31,5,-48,1110.94,-2694.36,37883.03,7.25
120,600975,新五丰,2015-03-31,1,-12,203.68,-1314.48,2967.59,0.43
121,600970,中材国际,2015-03-31,8,-75,1631.78,-5028.91,26532.73,0.97
122,600969,郴电国际,2015-03-31,7,-20,359.20,-1337.99,7816.19,1.36
123,600967,内蒙一机,2015-03-31,3,-61,684.25,-10177.74,11098.48,0.83
124,600963,岳阳林纸,2015-03-31,2,-21,2012.83,-1659.15,14472.26,1.93
125,600962,国投中鲁,2015-03-31,4,-16,1346.66,-1141.83,24294.55,5.30
126,600961,株冶集团,2015-03-31,1,-6,15.96,-6.73,233.78,0.03
127,600917,重庆燃气,2015-03-31,1,-6,29.99,-26.24,361.10,0.19
128,600900,长江电力,2015-03-31,14,-132,3420.16,-19074.67,37245.59,0.35
129,600895,张江高科,2015-03-31,12,-95,1665.52,-5474.46,34492.91,1.08
130,600894,广日股份,2015-03-31,7,-62,4763.70,-4321.07,105046.60,5.54
131,600893,航发动力,2015-03-31,13,-144,5076.47,-7255.35,195393.46,3.71
132,600888,新疆众和,2015-03-31,1,-22,1993.20,-3125.17,20769.20,3.11
133,600887,伊利股份,2015-03-31,88,-195,26677.37,-19282.25,822996.71,4.42
134,600886,国投电力,2015-03-31,5,-161,1203.38,-40095.60,12996.49,0.18
135,600885,宏发股份,2015-03-31,8,-69,778.04,-3166.78,22742.18,1.46
136,600884,杉杉股份,2015-03-31,2,-57,370.49,-1138.12,8610.14,0.45
137,600883,博闻科技,2015-03-31,1,-4,938.88,-194.35,11858.08,3.98
138,600881,亚泰集团,2015-03-31,13,-49,192.62,-2696.87,1874.20,0.10
139,600879,航天电子,2015-03-31,10,-70,6974.74,-10743.65,139704.09,8.74
140,600875,东方电气,2015-03-31,63,-61,5972.04,-453.14,129414.00,2.99
141,600874,创业环保,2015-03-31,2,-50,100.00,-1945.64,1363.00,0.09
142,600873,梅花生物,2015-03-31,8,-110,3419.06,-8803.28,30395.41,1.11
143,600872,中炬高新,2015-03-31,15,-87,4939.07,-13359.74,72554.92,6.20
144,600869,智慧能源,2015-03-31,6,-44,1535.01,983.56,27461.28,0.75
145,600867,通化东宝,2015-03-31,6,-102,4825.42,-3359.73,97135.65,3.54
146,600863,内蒙华电,2015-03-31,1,-94,1.71,-16089.97,7.87,0.00
147,600862,中航高科,2015-03-31,1,-8,1649.74,-1210.29,29200.42,2.09
148,600858,银座股份,2015-03-31,6,-41,2801.16,-3795.50,31759.34,5.41
149,600856,中天能源,2015-03-31,4,1,436.46,336.42,8345.13,0.57
150,600855,航天长峰,2015-03-31,5,-58,1043.19,-7941.10,31306.14,3.16
151,600853,龙建股份,2015-03-31,2,0,876.50,736.45,6135.49,1.63
152,600851,海欣股份,2015-03-31,1,-40,35.60,-1125.94,388.06,0.05
153,600850,华东电脑,2015-03-31,12,-94,1260.17,-2232.11,72169.79,2.99
154,600845,宝信软件,2015-03-31,7,-8,397.12,-195.93,23422.00,0.76
155,600839,四川长虹,2015-03-31,7,-92,11042.23,-2135.64,66474.21,2.39
156,600837,海通证券,2015-03-31,139,-175,147363.52,27099.43,3449780.06,18.21
157,600836,界龙实业,2015-03-31,2,-5,440.78,33.05,8348.42,0.67
