,code,name,date,nums,nlast,count,clast,amount,ratio
0,603998,方盛制药,2016-03-31,4,-9,153.90,-619.41,7273.24,0.57
1,603996,中新科技,2016-03-31,3,-293,5.02,-456.48,162.41,0.05
2,603993,洛阳钼业,2016-03-31,7,-118,554.78,-8598.98,1986.11,0.04
3,603989,艾华集团,2016-03-31,9,-18,210.80,-193.96,5822.25,2.50
4,603939,益丰药房,2016-03-31,13,-26,813.93,-1775.26,24466.87,5.22
5,603918,金桥信息,2016-03-31,1,-1,1.70,1.06,116.14,0.01
6,603901,永创智能,2016-03-31,2,-5,7.60,-179.08,237.04,0.05
7,603899,晨光文具,2016-03-31,12,-56,1274.76,-689.08,47994.75,5.69
8,603898,好莱客,2016-03-31,17,-27,1198.30,-947.97,37135.31,13.74
9,603885,吉祥航空,2016-03-31,4,-80,24.77,-1661.20,630.14,0.07
10,603883,老百姓,2016-03-31,4,-83,261.88,-1152.93,11920.91,3.11
11,603869,北部湾旅,2016-03-31,1,-8,269.09,218.64,8481.72,3.69
12,603808,歌力思,2016-03-31,1,-10,249.18,-202.38,9832.63,3.00
13,603806,福斯特,2016-03-31,2,-61,8.00,-697.91,307.36,0.09
14,603800,道森股份,2016-03-31,3,-92,0.30,-187.59,8.21,0.00
15,603799,华友钴业,2016-03-31,4,-41,706.48,-1242.04,14906.75,2.60
16,603778,乾景园林,2016-03-31,4,-291,2.86,-201.20,150.43,0.03
17,603766,隆鑫通用,2016-03-31,9,-115,1288.47,-4462.25,23772.36,0.62
18,603729,龙韵股份,2016-03-31,1,-11,14.50,-206.83,1013.70,0.40
19,603718,海利生物,2016-03-31,1,-21,796.20,-343.21,34164.86,2.61
20,603703,盛洋科技,2016-03-31,1,-10,5.00,-717.54,303.60,0.05
21,603699,纽威股份,2016-03-31,1,-69,20.00,-1094.32,355.00,0.13
22,603698,航天工程,2016-03-31,1,-42,2.80,-130.04,82.88,0.03
23,603686,龙马环卫,2016-03-31,4,-28,326.82,-305.44,9834.03,3.08
24,603678,火炬电子,2016-03-31,4,-32,598.55,-423.57,34117.08,2.97
25,603669,灵康药业,2016-03-31,2,-17,91.44,-428.52,2683.76,1.06
26,603636,南威软件,2016-03-31,1,-37,8.90,-742.58,568.53,0.05
27,603609,禾丰牧业,2016-03-31,1,-21,15.43,-431.80,192.73,0.04
28,603601,再升科技,2016-03-31,10,-8,1147.81,84.60,39335.37,5.38
29,603598,引力传媒,2016-03-31,8,-24,175.97,-772.10,7886.98,1.81
30,603588,高能环境,2016-03-31,6,-49,196.89,-697.58,11931.67,0.41
31,603566,普莱柯,2016-03-31,4,-9,115.90,-294.36,5553.78,0.71
32,603558,健盛集团,2016-03-31,8,-5,189.35,2.19,4375.89,1.64
33,603555,贵人鸟,2016-03-31,9,-89,2041.95,-1693.83,56602.97,3.33
34,603508,思维列控,2016-03-31,12,-296,17.33,-413.48,1490.90,0.27
35,603456,九洲药业,2016-03-31,14,-38,1844.74,-977.27,108858.50,12.88
36,603398,邦宝益智,2016-03-31,11,-157,379.08,165.93,27809.57,7.18
37,603368,柳州医药,2016-03-31,8,-30,410.26,-1142.55,26183.61,5.50
38,603366,日出东方,2016-03-31,1,-52,158.44,-1253.20,1265.91,0.20
39,603338,浙江鼎力,2016-03-31,3,-21,117.23,-130.45,4639.87,2.54
