,code,name,date,nums,nlast,count,clast,amount,ratio
0,603997,继峰股份,2017-03-31,5,-12,378.25,-223.05,9630.15,3.32
1,603996,中新科技,2017-03-31,2,-8,320.47,310.54,6797.13,3.10
2,603993,洛阳钼业,2017-03-31,26,-121,9057.12,-4694.30,42659.03,0.70
3,603989,艾华集团,2017-03-31,10,-56,612.73,-1528.47,22481.23,7.26
4,603986,兆易创新,2017-03-31,27,-562,55.76,-276.79,11715.83,2.23
5,603979,金诚信,2017-03-31,9,-17,1628.65,1434.58,32410.06,9.05
6,603969,银龙股份,2017-03-31,1,-25,60.24,-357.05,954.20,0.39
7,603968,醋化股份,2017-03-31,3,-35,45.11,-1493.80,1074.57,0.33
8,603959,百利科技,2017-03-31,1,-20,0.28,-6.60,7.33,0.00
9,603939,益丰药房,2017-03-31,12,-61,1777.35,-1490.18,51862.98,11.39
10,603929,亚翔集成,2017-03-31,2,-1741,0.44,-382.31,13.52,0.01
11,603901,永创智能,2017-03-31,1,-6,124.12,-219.34,1762.45,0.81
12,603899,晨光文具,2017-03-31,23,-57,2807.58,-2672.50,50030.99,12.53
13,603898,好莱客,2017-03-31,26,-49,1899.07,-13.98,69809.68,21.77
14,603888,新华网,2017-03-31,4,-89,6.98,-71.28,585.69,0.13
15,603883,老百姓,2017-03-31,1,-81,280.02,-580.48,12318.09,3.33
16,603877,太平鸟,2017-03-31,2,-1620,0.64,-491.74,23.28,0.01
17,603869,北部湾旅,2017-03-31,9,-36,656.29,-790.56,20778.01,9.01
18,603868,飞科电器,2017-03-31,24,-46,229.11,-162.15,10818.77,5.25
19,603866,桃李面包,2017-03-31,14,-85,378.24,-1566.94,16521.40,6.39
20,603823,百合花,2017-03-31,4,-876,14.71,-860.07,452.64,0.33
21,603818,曲美家居,2017-03-31,5,-45,2172.41,-783.11,36257.48,16.51
22,603816,顾家家居,2017-03-31,20,-64,434.78,13.09,21547.64,5.27
23,603808,歌力思,2017-03-31,28,-108,1498.91,-3378.24,47485.59,18.05
24,603806,福斯特,2017-03-31,9,-74,512.34,-712.40,23772.51,5.68
25,603799,华友钴业,2017-03-31,22,-42,1441.32,-1562.90,66566.60,5.31
26,603798,康普顿,2017-03-31,2,-12,0.42,-34.74,22.22,0.01
27,603778,乾景园林,2017-03-31,4,0,465.95,465.67,11196.86,5.15
28,603766,隆鑫通用,2017-03-31,6,-124,1251.74,-4950.31,26524.36,0.60
29,603737,三棵树,2017-03-31,12,-25,322.23,-244.57,23139.45,12.89
30,603729,龙韵股份,2017-03-31,1,-45,14.35,-411.75,1236.83,0.40
31,603727,博迈科,2017-03-31,3,-114,1.14,-37.54,48.19,0.02
32,603718,海利生物,2017-03-31,2,-31,1903.12,-1595.97,30773.45,6.24
33,603716,塞力斯,2017-03-31,3,1,159.83,46.37,18704.86,12.55
34,603703,盛洋科技,2017-03-31,9,-17,2546.91,-876.38,65251.75,26.55
35,603686,龙马环卫,2017-03-31,17,-38,1334.13,-76.65,46481.22,12.56
36,603678,火炬电子,2017-03-31,10,-58,519.90,-1534.12,39969.20,2.58
37,603660,苏州科达,2017-03-31,9,-356,23.41,-636.96,755.32,0.47
38,603658,安图生物,2017-03-31,1,-79,159.79,-516.28,7313.56,3.80
39,603611,诺力股份,2017-03-31,4,-49,76.88,-1187.81,2570.84,0.83
40,603609,禾丰牧业,2017-03-31,7,-78,776.51,-3486.52,9349.12,1.86
41,603601,再升科技,2017-03-31,6,-22,1126.05,-610.58,18874.38,5.28
42,603599,广信股份,2017-03-31,2,-20,79.99,-227.79,1334.17,0.59
43,603589,口子窖,2017-03-31,39,-103,2972.68,-1364.09,103806.01,10.13
44,603588,高能环境,2017-03-31,22,-72,1979.69,-2618.01,60321.17,4.08
45,603566,普莱柯,2017-03-31,2,-40,473.39,-893.45,12516.55,2.92
46,603556,海兴电力,2017-03-31,18,-49,891.96,829.00,43224.46,9.56
