,code,name,type,report_date,pre_eps,range
0,000004,国农科技,预亏,2015-04-30,-0.0335,-24.49%~82.22%
1,000403,ST生化,预减,2015-04-30,0.38,-87.48%~-82.66%
2,000426,兴业矿业,预减,2015-04-30,0.1952,-96.57%~-93.13%
3,000590,启迪古汉,预增,2015-04-30,0.0133,235.83%~269.41%
4,000668,荣丰控股,减亏,2015-04-30,-0.08,2.76%~59.48%
5,000723,美锦能源,预亏,2015-04-30,0.03,-262.73%~-200.14%
6,000760,斯太尔,预亏,2015-04-30,-0.0755,0
7,000876,新希望,预增,2015-04-30,0.16,50.11%~99.91%
8,000918,嘉凯城,减亏,2015-04-30,-0.09,0
9,002211,宏达新材,预升,2015-04-30,0.01,0
10,000007,全新好,预亏,2015-04-30,-0.0266,-5.24%~15.81%
11,000679,大连友谊,预增,2015-04-29,0.055999999999999994,450%~550%
12,000611,*ST天首,预亏,2015-04-29,-0.0007,-3167.24
13,000629,*ST钒钛,预亏,2015-04-29,0.0471,-187%~-162%
14,002072,凯瑞德,预亏,2015-04-29,-0.055,0
15,002110,三钢闽光,预亏,2015-04-29,-0.087,-311.51%~-261.47%
16,002115,三维通信,减亏,2015-04-29,-0.0644,32%~43%
17,002157,正邦科技,预亏,2015-04-29,-0.16,0
18,002167,东方锆业,预亏,2015-04-29,-0.05,0
19,002306,*ST云网,预亏,2015-04-29,0.05,0
20,002346,柘中股份,预增,2015-04-29,0.0,417.04%~461.43%
21,002481,双塔食品,预增,2015-04-29,0.0662,60%~80%
22,002504,*ST弘高,预盈,2015-04-29,-0.0638,0
23,002694,顾地科技,预减,2015-04-29,0.06,-90%~-80%
24,000036,华联控股,预亏,2015-04-28,0.0007,0
25,000638,万方发展,预亏,2015-04-28,-0.0122,-32.09
26,000758,中色股份,预增,2015-04-28,0.026000000000000002,110%~150%
27,000788,北大医药,预亏,2015-04-28,0.04,-512.26%~-466.45%
28,002092,中泰化学,预亏,2015-04-28,0.069,0
29,002263,大东南,预亏,2015-04-28,-0.01,0
30,002377,国创高新,减亏,2015-04-28,-0.044000000000000004,0
31,002383,合众思壮,预亏,2015-04-28,-0.1196,0
32,002446,盛路通信,预增,2015-04-28,0.02,895.87%~944.45%
33,002639,雪人股份,预盈,2015-04-28,-0.02,296.34%~361.78%
34,002718,友邦吊顶,预增,2015-04-28,0.1,60%~100%
35,002069,獐子岛,预减,2015-04-28,0.04,-140%~-90%
36,002193,山东如意,预增,2015-04-28,0.0038,525%~570%
37,002399,海普瑞,预增,2015-04-28,0.09,135%~175%
38,000038,深大通,减亏,2015-04-28,-0.009000000000000001,18.21%~41.58%
39,000520,长航凤凰,预减,2015-04-28,0.0238,-90.64%~-78.17%
40,601699,潞安环能,预减,2015-04-28,0.102,-69.48
41,601558,*ST锐电,预亏,2015-04-28,-0.04,-44.85
42,600959,江苏有线,预升,2015-04-27,0.0,5%~10%
43,603116,红蜻蜓,预升,2015-04-27,0.16,0%~7.4%
44,000526,*ST紫学,预盈,2015-04-27,-0.0097,279.82
45,000717,韶钢松山,预亏,2015-04-27,-0.1299,-36.78
46,000960,锡业股份,预亏,2015-04-27,0.0738,0
47,002102,冠福股份,预增,2015-04-27,0.0042,1069.32%~1361.65%
48,002321,华英农业,预盈,2015-04-27,-0.124,0
49,600490,鹏欣资源,预减,2015-04-25,0.0441,-62
50,000608,阳光股份,预亏,2015-04-25,0.03,-416.89%~-235.81%
51,000612,焦作万方,预减,2015-04-25,0.052000000000000005,-59.57%~-51.49%
52,000678,襄阳轴承,预亏,2015-04-25,0.017,-155.91%~-144.93%
53,000825,太钢不锈,预减,2015-04-25,0.027999999999999997,-98.93
54,000888,峨眉山A,预减,2015-04-25,0.0375,-80%~-50%
55,000955,欣龙控股,预亏,2015-04-25,-0.01,-142.55%~-67.92%
56,000982,*ST中绒,预减,2015-04-25,0.06,-90%~-60%
57,000680,山推股份,预亏,2015-04-25,0.0311,0
58,000923,河北宣工,预亏,2015-04-25,0.0049,-2993.42%~-1962.28%
59,002524,光正集团,预盈,2015-04-25,-0.03,0
60,300155,安居宝,预亏,2015-04-25,0.04,0
61,300308,中际装备,预亏,2015-04-25,0.04,0
62,300337,银邦股份,预亏,2015-04-25,0.11,0
63,000615,京汉股份,预增,2015-04-24,0.002,29661.9%~41566.7%
64,000755,*ST三维,预亏,2015-04-24,-0.14300000000000002,-41.13
65,000806,银河生物,预盈,2015-04-24,-0.034,226.19%~247.22%
66,000911,南宁糖业,预盈,2015-04-24,-0.21,120.35%~149.19%
67,002112,三变科技,预降,2015-04-24,0.02,-76.94%~-36.58%
68,002240,威华股份,预亏,2015-04-24,-0.011000000000000001,0
69,300268,万福生科,预亏,2015-04-24,-0.046,0
70,002131,利欧股份,预降,2015-04-24,0.24,-25%~-5%
71,002755,东方新星,预升,2015-04-24,0.18,-10%~10%
72,601101,昊华能源,预减,2015-04-24,0.06,-71.35
73,603022,新通联,预升,2015-04-24,0.0,0%~10%
74,603227,雪峰科技,减亏,2015-04-24,-0.098,70%~80%
75,002756,永兴特钢,预降,2015-04-24,0.37,-10%~0%
76,300453,三鑫医疗,预降,2015-04-24,0.0,0
77,000780,*ST平能,预亏,2015-04-23,0.01,-300.09%~-292.95%
78,002609,捷顺科技,预盈,2015-04-23,-0.0117,193%~380%
79,000533,万家乐,预增,2015-04-23,0.04,79%~89%
80,300053,欧比特,预降,2015-04-22,0.04,-50.51%~-25.76%
81,601058,赛轮金宇,预减,2015-04-22,0.22,-70%~-50%
82,000931,中关村,减亏,2015-04-22,-0.0379,14.02%~33.56%
83,002170,芭田股份,预减,2015-04-22,0.0723,-80%~-50%
84,002309,中利集团,减亏,2015-04-22,-0.2,0
85,002333,罗普斯金,预亏,2015-04-22,0.03,0
86,002390,信邦制药,预增,2015-04-22,0.04,390%~440%
87,002528,英飞拓,预亏,2015-04-22,-0.02,0
88,002602,世纪华通,预增,2015-04-22,0.08,140%~180%
89,002681,奋达科技,预增,2015-04-22,0.14,60%~80%
90,002629,仁智股份,预亏,2015-04-21,-0.1,0
91,300336,新文化,预增,2015-04-21,0.226,0
92,000623,吉林敖东,预增,2015-04-21,0.26,146.86%~159.85%
93,000962,东方钽业,预亏,2015-04-21,-0.0588,-208.77%~-92.98%
94,300197,铁汉生态,预亏,2015-04-21,-0.02,0
95,002008,大族激光,预增,2015-04-21,0.03,120%~150%
96,600719,大连热电,预增,2015-04-21,0.21100000000000002,75
97,600222,太龙药业,预亏,2015-04-21,0.0089,0
98,601069,西部黄金,预降,2015-04-21,0.0483,-55%~-43%
99,600884,杉杉股份,预增,2015-04-21,0.047,1550%~1600%
100,000019,深深宝A,预亏,2015-04-21,-0.0244,-79.46%~-30.51%
101,603808,歌力思,预升,2015-04-21,0.2786,0%~5%
102,000090,天健集团,预增,2015-04-21,0.0213,300.45
103,000159,国际实业,预亏,2015-04-21,0.0287,-194%~-151%
104,000504,南华生物,减亏,2015-04-21,-0.0153,5.49%~36.99%
105,000685,中山公用,预增,2015-04-21,0.17,136.2%~165.72%
106,000725,京东方A,预增,2015-04-21,0.043,62%~70%
107,000758,中色股份,预增,2015-04-21,0.026000000000000002,150%~200%
108,000929,兰州黄河,预增,2015-04-21,0.0124,2769.32%~2943.21%
109,002124,天邦股份,预亏,2015-04-21,0.02,0
110,002163,中航三鑫,预亏,2015-04-21,-0.03,0
111,002489,浙江永强,预增,2015-04-21,0.21,100%~150%
112,300022,吉峰农机,预盈,2015-04-21,-0.064,0
113,300086,康芝药业,预亏,2015-04-21,0.05,0
114,000065,北方国际,预升,2015-04-20,0.1,6.52
115,600375,华菱星马,预亏,2015-04-18,0.09,0
116,601918,新集能源,预亏,2015-04-18,-0.081,0
117,601519,*ST智慧,预增,2015-04-18,0.004,400
118,601168,西部矿业,预亏,2015-04-18,0.03,0
119,000066,中国长城,预亏,2015-04-18,-0.0692,0
120,000503,海虹控股,预亏,2015-04-18,0.0011,0
121,000607,华媒控股,预盈,2015-04-18,-0.0248,100%~108.26%
122,002109,兴化股份,预亏,2015-04-18,-0.04,0
