,code,name,type,report_date,pre_eps,range
0,002496,辉丰股份,预降,2016-04-30,0.15,-10%~0%
1,002069,獐子岛,减亏,2016-04-30,-0.01,0
2,300512,中亚股份,预升,2016-04-29,0.29,0
3,002567,唐人神,预增,2016-04-29,0.037000000000000005,50%~70%
4,000835,长城动漫,预亏,2016-04-29,-0.0115,0
5,002335,科华恒盛,预增,2016-04-29,0.05,100%~150%
6,002798,帝王洁具,减亏,2016-04-28,0.0,0
7,600366,宁波韵升,预增,2016-04-27,0.1944,510%~560%
8,603339,四方冷链,预降,2016-04-27,0.19,-20%~0%
9,002493,荣盛石化,预增,2016-04-26,0.01,741.04%~1043.82%
10,600487,亨通光电,预增,2016-04-26,0.1212,100%~130%
11,603959,百利科技,减亏,2016-04-26,0.0,43.43%~52.85%
12,300433,蓝思科技,预减,2016-04-26,0.67,-60%~-55%
13,002390,信邦制药,预升,2016-04-26,0.07,10%~40%
14,002098,浔兴股份,预增,2016-04-26,0.006999999999999999,400.64%~446.15%
15,002259,升达林业,预亏,2016-04-26,-0.01,0
16,002070,*ST众和,预盈,2016-04-26,-0.0275,0
17,002711,欧浦智网,预增,2016-04-26,0.18,50%~80%
18,002211,宏达新材,预亏,2016-04-26,0.0029,0
19,600892,大晟文化,预盈,2016-04-26,-0.0066,0
20,002511,中顺洁柔,预增,2016-04-26,0.0548,90%~120%
21,002263,大东南,预亏,2016-04-26,-0.01,0
22,002175,东方网络,预增,2016-04-25,0.0038,420%~530%
23,002299,圣农发展,预盈,2016-04-25,-0.214,0
24,002713,东易日盛,预亏,2016-04-25,-0.53,0
25,002786,银宝山新,预增,2016-04-25,0.12,129.43%~177.61%
26,002797,第一创业,预减,2016-04-25,0.11,-77%~-45%
27,002796,世嘉科技,预降,2016-04-25,0.11,-30%~0%
28,600360,华微电子,预升,2016-04-23,0.01,12.44
29,002524,光正集团,预亏,2016-04-23,0.03,0
30,600226,升华拜克,预增,2016-04-23,0.1,60%~100%
31,601168,西部矿业,预亏,2016-04-23,-0.02,0
32,600397,安源煤业,预亏,2016-04-22,0.0009,0
33,600410,华胜天成,预减,2016-04-22,0.0494,-80
34,600755,厦门国贸,预增,2016-04-22,0.08,180%~200%
35,002519,银河电子,预升,2016-04-22,0.17,20%~50%
36,002420,毅昌股份,预亏,2016-04-22,0.015,0
37,002565,顺灏股份,预增,2016-04-22,0.01,230%~270%
38,002309,中利集团,预盈,2016-04-22,-0.09,0
39,002610,爱康科技,预增,2016-04-22,0.03,10.07%~55.93%
40,002782,可立克,预增,2016-04-22,0.08,58.83%~88.61%
41,002446,盛路通信,预增,2016-04-22,0.13,125.15%~172.06%
42,002787,华源控股,预增,2016-04-21,0.15,50%~100%
43,002182,云海金属,预增,2016-04-21,0.0128,413.65%~462.31%
44,002702,海欣食品,预盈,2016-04-21,-0.0264,0
45,002693,双成药业,预亏,2016-04-21,0.01,0
46,601628,中国人寿,预减,2016-04-21,0.43,-60%~-55%
47,600123,兰花科创,预亏,2016-04-21,0.0075,0
48,600176,中国巨石,预增,2016-04-21,0.2128,85%~95%
49,002059,云南旅游,预亏,2016-04-21,-0.008,0
50,002607,亚夏汽车,预盈,2016-04-21,-0.04,0
51,002167,东方锆业,减亏,2016-04-21,-0.06,0
52,002734,利民股份,预增,2016-04-21,0.15,80%~115%
53,600348,阳泉煤业,预减,2016-04-20,0.03,-90%~-75%
54,600460,士兰微,0,2016-04-20,0.02,-80%
55,600026,中远海能,预增,2016-04-20,0.018000000000000002,0
56,002589,瑞康医药,预增,2016-04-20,0.215,50%~80%
57,603726,朗迪集团,预降,2016-04-20,0.16,-15%~-5%
58,000669,金鸿能源,预升,2016-04-20,0.1541,10%~20%
59,000544,中原环保,预减,2016-04-19,0.08,0
60,603011,合锻智能,预增,2016-04-19,0.03,70%~100%
61,600628,新世界,预减,2016-04-19,0.08,-70%~-65%
62,600177,雅戈尔,预增,2016-04-19,0.6235,60%~80%
63,600346,恒力股份,预盈,2016-04-19,-0.11,0
64,002181,粤传媒,预亏,2016-04-19,0.0056,0
65,002782,可立克,预增,2016-04-19,0.08,58.83%~88.61%
66,002100,天康生物,预增,2016-04-19,0.12,70%~100%
67,601238,广汽集团,预增,2016-04-19,0.08,240%~270%
68,600189,吉林森工,预盈,2016-04-19,-0.15,0
69,600050,中国联通,预减,2016-04-19,0.0495,-86
70,600330,天通股份,预增,2016-04-19,0.018000000000000002,320
71,600105,永鼎股份,预增,2016-04-19,0.045,0
72,000890,法尔胜,预升,2016-04-19,0.0047,-50%~50%
73,002127,南极电商,预增,2016-04-18,0.01,259.51%~307.45%
74,002418,康盛股份,预增,2016-04-18,0.01,66.92%~91.96%
75,300510,金冠电气,预盈,2016-04-18,0.08,0
76,000789,万年青,预减,2016-04-16,0.1413,-95%~-85%
77,000010,美丽生态,预亏,2016-04-16,-0.0037,0
78,600640,号百控股,预减,2016-04-16,0.022000000000000002,-51
79,600794,保税科技,预减,2016-04-16,0.021,-70
80,000821,京山轻机,预减,2016-04-16,0.07,-99.58%~-95.82%
81,601003,柳钢股份,预盈,2016-04-16,-0.1354,0
82,600375,华菱星马,减亏,2016-04-16,-0.17,0
83,600178,东安动力,预盈,2016-04-16,-0.0295,0
84,600161,天坛生物,预亏,2016-04-16,0.02,0
85,002746,仙坛股份,预增,2016-04-16,0.02,698.75%~739.72%
86,002106,莱宝高科,预盈,2016-04-16,-0.0701,0
87,000693,*ST华泽,预亏,2016-04-16,-0.0132,0
88,000953,*ST河化,预盈,2016-04-15,-0.0586,0
89,000687,华讯方舟,预盈,2016-04-15,-0.068,0
90,000066,中国长城,减亏,2016-04-15,-0.0654,0
91,000760,斯太尔,预亏,2016-04-15,-0.04,0
92,600917,重庆燃气,预升,2016-04-15,0.05,13.14
93,000518,四环生物,预亏,2016-04-15,0.0098,0
94,000901,航天科技,预盈,2016-04-15,-0.01,0
95,002056,横店东磁,预升,2016-04-15,0.17,30%~50%
96,000898,鞍钢股份,预亏,2016-04-15,0.003,0
97,000960,锡业股份,减亏,2016-04-15,-0.2668,90.91%~93.94%
98,000679,大连友谊,预减,2016-04-15,0.35,-87%~-84%
99,000678,襄阳轴承,预亏,2016-04-15,-0.009000000000000001,0
100,000766,通化金马,预增,2016-04-15,0.0312,174.97%~207.38%
101,600310,桂东电力,预盈,2016-04-15,-0.1832,0
102,000070,特发信息,预增,2016-04-15,0.0497,145%~175%
103,601933,永辉超市,预升,2016-04-15,0.11,29.75
104,000597,东北制药,减亏,2016-04-15,-0.07,0
105,000401,冀东水泥,预亏,2016-04-15,-0.445,0
106,000725,京东方A,预减,2016-04-15,0.027999999999999997,0
107,000977,浪潮信息,预增,2016-04-15,0.1439,60%~90%
108,000663,永安林业,预亏,2016-04-15,-0.004,0
109,000615,京汉股份,预减,2016-04-15,0.47,-97.22%~-96.76%
110,000560,昆百大A,预增,2016-04-15,0.0145,527.23%~648.62%
111,000809,*ST新城,预亏,2016-04-15,-0.013000000000000001,0
112,000008,神州高铁,预减,2016-04-15,0.0766,-83.65%~-80.37%
113,000587,金洲慈航,预增,2016-04-15,0.06,339%~367%
