,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603180,金牌厨柜,0.09,,,2.31,-1.7,470.03,,,05-11
1,603113,金能科技,-0.03,,,-0.1,0.08,-196.15,,,05-10
2,603086,先达股份,0.35,,,3.25,0.53,2086.78,,,05-10
3,002871,伟隆股份,0.17,,,3.22,,877.88,,,05-10
4,603926,铁流股份,0.26,,,5.43,0.01,2311.01,,,05-09
5,300651,金陵体育,0.03,,,0.59,-0.42,185.37,,,05-08
6,603728,鸣志电器,0.07,,,2.8,-0.07,1788.08,,,05-08
7,603229,奥翔药业,0.1,-52.38,,,,1144.83,15.04,,05-08
8,603985,恒润股份,0.4,,,6.58,-0.62,2422.16,,,05-04
9,300643,万通智控,0.04,,,2.81,0.11,541.2,,,05-04
10,300649,杭州园林,0.09,,,2.81,-0.29,450.94,,,05-04
11,603501,韦尔股份,0.08,,,3.51,0.02,2837.04,,,05-03
12,603505,金石资源,0.03,,,1.23,-0.05,517.55,,,05-02
13,300650,太龙照明,0.04,,,1.15,-0.1,213.04,,,05-02
14,300647,超频三,0.09,,,3.51,-0.08,770.09,,,05-02
15,002868,绿康生化,0.34,,,12.14,0.41,3089.25,,,05-02
16,603319,湘油泵,0.19,,,3.18,,1157.47,,,04-29
17,603668,天马科技,0.06,,,2.4,,939.56,,,04-29
18,603839,安正时尚,0.28,,,5.17,,6066.28,,,04-29
19,603058,永吉股份,0.06,,,3.97,,2105.17,,,04-29
20,603633,徕木股份,0.07,,,1.37,,627.88,,,04-29
21,603966,法兰泰克,-0.05,,,-1.18,,-555.75,,,04-29
22,603717,天域生态,-0.27,,,-7.26,,-3437.71,,,04-29
23,601375,中原证券,0.04,,,1.54,,12680.99,,,04-29
24,603833,欧派家居,0.11,,,2.13,,4164.77,,,04-29
25,603929,亚翔集成,0.62,,,16.65,,9874.71,,,04-29
26,603385,惠达卫浴,0.13,,,1.56,,2735.52,,,04-29
27,603303,得邦照明,0.23,,,3.78,,4069.13,,,04-29
28,603313,梦百合,0.29,,,7.67,,5135.56,,,04-29
29,603358,华达科技,0.44,,,4.97,,5243.51,,,04-29
30,603886,元祖股份,-0.16,,,-17.15,,-2914.2,,,04-29
31,603266,天龙股份,0.25,,,5.22,,1883.1,,,04-29
32,603727,博迈科,0.3,,,5.03,,5208.15,,,04-29
33,603033,三维股份,0.17,,,1.71,,1123.58,,,04-29
34,603955,大千生态,0.02,,,0.21,,141.61,,,04-29
35,601881,中国银河,0.11,,,2.1,,101144.56,,,04-29
36,603689,皖天然气,0.14,,,3.34,,3476.4,,,04-29
