,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300629,新劲刚,0.15,,,3.88,,732.28,,,03-09
1,603238,诺邦股份,0.33,,3.95,8.61,0.34,2932.84,,,01-26
2,300612,宣亚国际,0.48,,2.9,17.35,0.93,2611.8,,,01-25
3,300611,美力科技,0.3,,5.79,5.27,0.39,1997.75,,,01-25
4,300615,欣天科技,0.53,,3.06,17.54,0.3,3154.54,,,01-25
5,603345,安井食品,0.63,,5.73,11.57,0.38,10161.97,,,01-24
6,603603,博天环境,0.14,,2.23,6.33,-1.03,4920.01,,,01-23
7,603330,上海天洋,0.6,,7.47,8.39,0.51,2703.9,,,01-23
8,603955,大千生态,0.41,,9.88,4.07,0.19,2701.23,,,01-23
9,603817,海峡环保,0.13,,2.59,5.12,0.36,4368.12,,,01-23
10,603180,金牌厨柜,0.44,,4.19,10.58,0.45,2224.55,,,01-20
11,603078,江化微,0.65,,7.6,8.69,1.18,2924.5,,,01-20
12,300608,思特奇,-0.24,,5.96,-3.93,-0.76,-1226.83,,,01-20
13,603040,新坐标,0.47,,5.46,8.92,0.4,2135.71,,,01-19
14,300607,拓斯达,0.55,66.67,5.87,9.59,1.38,2995.6,65.81,,01-19
15,300609,汇纳科技,0.05,,2.81,1.66,0.07,347.85,,,01-18
16,300635,达安股份,0.38,11.76,4.92,8.1,0.49,2434.09,17.44,,01-18
17,603615,茶花股份,0.28,,,6.64,0.29,5115.95,,,01-17
18,300610,晨化股份,0.38,,4.82,8.1,0.2,2829.1,,,01-17
19,002848,高斯贝尔,0.29,,4.71,6.41,-0.22,3663.16,,,01-16
20,603677,奇精机械,0.71,,6.85,10.66,0.77,4241.06,,,01-16
21,603839,安正时尚,0.55,,5.44,10.04,0.26,11743.95,,,01-16
22,603208,江山欧派,0.9,,6.42,14.48,0.92,5431.82,,,01-16
23,603385,惠达卫浴,0.33,,8.83,3.76,0.86,7027.29,,,01-13
24,002774,快意电梯,0.18,,,11.44,0.22,4628.01,,,01-13
25,603920,世运电路,0.37,,2.42,15.02,0.34,11486.78,,,01-13
26,603626,科森科技,0.46,,3.1,15.98,1.08,7247.1,,,01-13
27,603133,碳元科技,0.19,,3.0,6.39,0.31,2983.92,,,01-13
28,300605,恒锋信息,0.19,,3.27,6.0,-0.49,1198.21,,,01-12
29,300578,会畅通讯,0.3,,2.88,10.98,0.15,1617.43,,,01-12
30,300601,康泰生物,,,1.91,8.31,-0.02,5608.31,,,01-12
31,603637,镇海股份,0.38,,4.59,8.52,-1.32,2935.81,,,01-12
32,002862,实丰文化,0.2,,4.45,4.53,-0.13,1183.27,,,01-11
33,300630,普利制药,0.25,31.58,2.84,8.77,0.08,2259.87,28.45,,01-11
34,300636,同和药业,0.46,,4.57,10.53,0.32,2741.99,,,01-11
35,300606,金太阳,0.27,,3.29,8.41,0.34,1776.71,,,01-10
36,002847,盐津铺子,0.5,,3.18,17.2,0.69,4684.81,,,01-10
37,002846,英联股份,0.27,,2.83,9.59,0.34,2412.54,,,01-10
38,603177,德创环保,0.14,,2.2,6.36,-0.13,2051.67,,,01-10
39,300598,诚迈科技,0.28,,4.06,7.01,-0.1,1679.98,,,01-09
40,300603,立昂技术,0.2,900.0,,6.39,-0.07,1532.0,726.28,,01-09
41,300602,飞荣达,,,6.52,10.79,0.51,5073.76,,,01-09
42,603881,数据港,0.24,,2.37,10.72,0.47,3819.11,,,01-09
43,603360,百傲化学,0.44,,4.04,11.38,0.44,4351.24,,,01-09
44,300600,瑞特股份,0.65,-10.96,6.18,11.04,0.26,4852.41,-11.07,,01-06
45,603089,正裕工业,0.6,,4.56,13.76,0.42,4778.4,,,01-06
46,603358,华达科技,1.04,,9.12,11.46,1.24,12509.45,,,01-05
47,002845,同兴达,0.31,,5.4,5.87,0.04,2217.95,,,01-05
48,300620,光库科技,0.32,-27.73,2.55,13.31,0.35,2099.04,12.94,,01-05
49,300627,华测导航,0.22,,2.72,8.61,-0.43,2008.17,,,01-05
50,603966,法兰泰克,0.17,,4.12,4.32,0.07,2085.7,,,01-04
51,300595,欧普康视,0.84,,5.79,15.67,0.75,4293.11,,,01-04
52,300597,吉大通信,0.08,,2.09,3.71,-0.11,1367.92,,,01-04
53,300599,雄塑科技,0.19,,2.66,6.94,-0.03,4316.85,,,01-03
54,603038,华立股份,0.82,,9.41,8.66,0.51,4104.48,,,12-30
55,002860,星帅尔,0.65,,4.97,13.65,0.45,3948.88,,,12-30
56,603638,艾迪精密,0.29,,3.5,8.53,0.26,3777.53,,,12-30
57,603337,杰克股份,0.63,,5.72,11.26,1.03,9760.19,,,12-29
58,002841,视源股份,0.89,,2.64,37.96,0.58,32403.01,,,12-29
59,603039,泛微网络,0.43,,5.02,10.15,0.57,2135.93,,,12-29
60,002843,泰嘉股份,0.18,,3.63,4.91,0.43,1908.65,,,12-29
61,300592,华凯创意,0.1,,3.28,3.08,-0.09,915.49,,,12-28
62,603630,拉芳家化,0.46,,5.74,8.36,,6026.07,,,12-28
63,601212,白银有色,0.02,,1.78,1.12,-0.07,12606.96,,,12-28
64,300584,海辰药业,0.35,,4.2,8.7,0.08,2120.28,,,12-28
65,300596,利安隆,0.54,,5.15,11.13,0.11,4883.01,,,12-28
66,601858,中国科传,0.08,0.0,2.93,2.8,-0.07,5414.15,2.73,,12-28
67,603139,康惠制药,0.28,,,4.53,0.12,2119.58,,,12-27
68,300639,凯普生物,0.5,,6.84,7.8,0.33,3345.98,,,12-27
69,603579,荣泰健康,1.91,,7.06,30.72,1.26,10044.57,,,12-27
70,300628,亿联网络,3.32,,9.97,37.2,2.75,18607.21,,,12-27
71,300590,移为通信,0.65,,2.43,25.78,0.67,3875.07,,,12-27
72,603803,瑞斯康达,0.33,,3.92,8.26,-0.13,12031.86,,,12-27
73,002842,翔鹭钨业,0.46,,5.89,8.13,0.68,3471.22,,,12-27
74,603165,荣晟环保,0.55,,3.48,17.03,0.46,5190.44,,,12-26
75,300589,江龙船艇,0.12,,2.17,5.92,-0.9,810.08,,,12-26
76,603639,海利尔,1.17,-7.87,7.06,17.72,0.57,10534.35,-8.16,,12-22
77,002824,和胜股份,0.42,,4.32,10.05,-0.09,3816.21,,,12-22
78,300625,三雄极光,0.31,,2.68,10.37,0.06,6585.12,,,12-21
79,300622,博士眼镜,0.26,,3.49,7.61,0.39,1677.46,,,12-21
80,603178,圣龙股份,0.21,,2.38,8.84,0.53,3096.1,,,12-21
81,603896,寿仙谷,0.35,,3.75,9.67,0.46,3681.78,,,12-21
82,603811,诚意药业,0.52,,3.84,13.22,0.68,3339.73,,,12-20
83,300617,安靠智电,0.77,,7.16,11.31,0.73,3835.07,,,12-20
84,603179,新泉股份,0.38,,4.4,9.06,0.08,4567.95,,,12-20
85,603096,新经典,0.67,,6.32,11.57,0.4,6702.52,,,12-20
86,300621,维业股份,0.35,,4.29,8.65,-0.53,3581.7,,,12-20
