,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
353,000584,友利控股,-0.03,-34.72,,-1.09,,-1639.9,-34.67,,04-29
354,600596,新安股份,0.09,-232.04,,1.54,,6241.91,-231.99,,04-29
355,601000,唐山港,0.07,-41.67,,2.46,,33765.35,22.71,,04-29
356,603568,伟明环保,0.18,0.0,,6.1,,12061.92,45.69,,04-29
357,600221,海南航空,0.05,-57.99,,1.43,,83514.0,-42.05,,04-29
358,600613,神奇制药,0.04,-42.86,,0.9,,2140.67,-43.29,,04-29
359,601021,春秋航空,0.38,-17.39,,4.06,,30325.6,-17.3,,04-29
360,600579,天华院,0.0,-107.0,,0.04,,43.04,-107.15,,04-29
361,000584,友利控股,-0.03,-34.72,,-1.09,,-1639.9,-34.67,,04-29
362,600596,新安股份,0.09,-232.04,,1.54,,6241.91,-231.99,,04-29
363,601000,唐山港,0.07,-41.67,,2.46,,33765.35,22.71,,04-29
364,603568,伟明环保,0.18,0.0,,6.1,,12061.92,45.69,,04-29
365,600221,海南航空,0.05,-57.99,,1.43,,83514.0,-42.05,,04-29
366,600613,神奇制药,0.04,-42.86,,0.9,,2140.67,-43.29,,04-29
367,601021,春秋航空,0.38,-17.39,,4.06,,30325.6,-17.3,,04-29
368,600238,海南椰岛,-0.05,-19.87,,-2.4,,-2045.71,-26.84,,04-29
369,600633,浙数文化,0.97,572.41,,17.78,,125975.13,636.8,,04-29
370,000651,格力电器,0.67,26.42,,7.19,,401453.65,27.05,,04-29
371,600650,锦江投资,0.13,50.56,,2.25,,7394.16,49.86,,04-29
372,002070,*ST众和,-0.02,242.86,,-2.38,,-1547.01,238.45,,04-29
373,600668,尖峰集团,0.33,340.54,,4.57,,11220.05,339.84,,04-29
374,601258,庞大集团,0.02,100.0,,0.89,,11689.06,206.19,,04-29
375,600295,鄂尔多斯,0.11,37.5,,1.51,,11078.91,27.74,,04-29
376,600687,刚泰控股,0.07,-48.18,,1.87,,10583.57,-48.24,,04-29
377,601398,工商银行,0.21,0.0,5.46,3.95,,7578600.0,1.37,,04-29
378,002439,启明星辰,-0.01,33.33,,-0.25,,-671.02,26.94,,04-29
379,603885,吉祥航空,0.33,-17.5,,5.36,,42039.66,-7.45,,04-29
380,000732,泰禾集团,0.19,-28.33,,1.27,,23066.78,-28.35,,04-29
381,601866,中远海发,0.03,-140.35,,2.58,,34751.81,-140.43,,04-29
382,000789,万年青,0.01,24.71,,0.23,,651.8,24.29,,04-29
383,600754,锦江股份,0.21,1.56,,1.54,,19902.9,20.93,,04-29
384,000815,美利云,-0.01,-85.71,,-0.5,,-988.28,-57.02,,04-29
385,600039,四川路桥,0.03,-19.2,,0.96,,9139.44,-19.4,,04-29
386,600064,南京高科,0.13,-62.0,,1.02,,10282.85,-61.94,,04-29
387,600446,金证股份,-0.03,-189.31,,-1.53,,-2583.72,-189.56,,04-29
388,600470,六国化工,-0.04,-42.86,,-1.04,,-2081.4,-38.93,,04-29
389,600099,林海股份,0.0,-57.63,,0.09,,55.33,-56.88,,04-29
390,600491,龙元建设,0.09,73.44,,2.24,,11948.66,73.49,,04-29
391,000931,中关村,-0.04,75.95,,-2.58,,-3139.7,96.54,,04-29
392,603198,迎驾贡酒,0.36,12.5,,7.07,,28824.65,12.94,,04-29
393,600133,东湖高新,1.08,5599.47,,30.96,,68683.56,5591.93,,04-29
394,000506,中润资源,-0.04,-327.53,,-2.58,,-3763.91,-327.91,,04-29
395,000958,东方能源,0.12,-61.29,,2.45,,6541.13,-61.71,,04-29
396,600883,博闻科技,0.16,-2651.56,,5.69,,3855.78,-2658.79,,04-29
397,002284,亚太股份,0.06,1.72,,1.63,,4352.89,2.25,,04-29
398,002605,姚记扑克,0.06,-14.5,,1.67,,2530.85,-9.13,,04-29
399,000528,柳工,0.1,624.81,,1.22,,10845.0,623.09,,04-29
400,000976,春晖股份,0.01,117.39,,0.48,,1712.11,202.33,,04-29
401,600900,长江电力,0.12,7.51,,2.09,,270800.34,43.38,,04-29
402,600172,黄河旋风,0.14,9.03,6.27,2.24,,10994.59,9.02,,04-29
403,600967,内蒙一机,0.04,-171.93,,0.96,,6956.32,-247.65,,04-29
404,002316,键桥通讯,-0.05,-600.0,,-2.51,,-2127.53,-875.67,,04-29
405,603385,惠达卫浴,0.14,7.69,,1.76,,3993.12,45.97,,04-29
406,600190,锦州港,0.02,208.84,,0.7,,4140.21,208.87,,04-29
407,600584,长电科技,0.04,47.06,,0.83,,3829.77,36.03,,04-29
408,002653,海思科,0.04,0.0,,1.94,,4435.6,5.46,,04-29
409,300135,宝利国际,0.01,60.0,,0.59,,700.42,44.64,,04-29
410,601088,中国神华,0.62,165.09,16.37,3.84,1.26,1223500.0,165.57,,04-29
411,600243,青海华鼎,0.12,-340.0,,3.03,,5334.09,-341.72,,04-29
412,601139,深圳燃气,0.1,0.0,3.59,2.84,0.03,22211.8,5.47,,04-29
413,600265,ST景谷,-0.05,-16.67,,-36.64,,-628.31,-21.51,,04-29
414,000659,*ST中富,-0.01,-75.0,,-2.28,,-1087.34,-77.96,,04-29
415,600655,豫园商城,0.14,495.65,,1.84,,19638.14,504.23,,04-29
416,603727,博迈科,0.1,-66.67,,0.95,,2284.49,-56.14,,04-29
417,000679,大连友谊,0.03,-36.4,,0.82,,1134.21,-36.46,,04-29
418,601328,交通银行,0.26,0.0,7.93,3.03,,1932300.0,1.35,,04-29
419,601555,东吴证券,0.1,-16.67,,1.52,,31010.33,-9.4,,04-29
420,600319,亚星化学,,,,2.78,,20.73,-100.71,,04-29
421,601788,光大证券,0.13,-16.57,,1.25,,58721.14,-1.59,,04-29
422,603955,大千生态,0.02,9.22,,0.23,,154.77,9.29,,04-29
423,600377,宁沪高速,0.17,13.54,,3.88,,87867.29,13.57,,04-29
424,000800,一汽轿车,0.1,-138.23,,2.08,,16172.89,-138.22,,04-29
425,601988,中国银行,0.15,0.0,4.59,3.44,1.31,4664900.0,0.06,,04-29
426,600026,中远海能,0.14,263.8,,2.03,,56311.47,264.05,,04-29
427,002192,融捷股份,0.0,-57.14,,0.04,,30.63,-57.47,,04-29
428,600053,九鼎投资,0.13,82.78,,2.99,,5476.92,82.92,,04-29
429,600425,*ST青松,-0.11,-0.88,,-3.92,,-15383.5,-1.18,,04-29
430,000850,华茂股份,0.01,-22.15,,0.24,,1093.01,-22.04,,04-29
431,600086,东方金钰,0.1,15.86,,4.33,,13311.21,15.89,,04-29
432,600479,千金药业,0.08,32.28,,1.58,,2773.75,32.28,,04-29
433,600498,烽火通信,0.13,18.18,,1.89,,13859.41,16.3,,04-29
434,000919,金陵药业,0.09,-9.92,,1.68,,4303.03,-9.97,,04-29
435,600121,*ST郑煤,0.22,-287.92,,7.65,,22745.11,-287.99,,04-29
436,000426,兴业矿业,0.05,-1700.0,,1.89,,9267.04,-2582.05,,04-29
437,600139,西部资源,-0.05,-24.4,1.48,-3.38,0.03,-3359.27,-24.51,,04-29
438,002594,比亚迪,0.2,-37.5,,1.15,,60579.5,-28.79,,04-29
439,603303,得邦照明,0.23,0.0,,3.14,,5479.45,34.66,,04-29
440,002610,爱康科技,0.0,-90.0,,0.17,,961.13,-30.21,,04-29
441,000981,银亿股份,0.02,-15.5,,0.77,,5155.31,4.31,,04-29
442,002626,金达威,0.11,37.5,,3.02,,6628.19,38.0,,04-29
443,000552,靖远煤电,0.05,10.89,,1.82,,11630.69,122.37,,04-29
444,603399,新华龙,0.0,-103.0,,0.08,,144.26,-102.89,,04-29
445,600589,广东榕泰,0.04,10.81,,0.97,,2910.99,10.99,,04-29
446,601011,宝泰隆,0.02,835.29,,0.5,,2178.72,851.65,,04-29
447,600232,金鹰股份,0.01,10.0,,0.35,,412.33,11.01,,04-29
448,600623,华谊集团,0.12,63.89,,1.53,,25087.14,65.04,,04-29
449,600250,南纺股份,-0.18,125.0,,-15.05,,-4646.97,122.1,,04-29
450,002725,跃岭股份,0.05,-37.5,,0.89,,811.01,-35.58,,04-29
451,600307,酒钢宏兴,0.04,-183.8,,2.41,,22340.22,-183.75,,04-29
452,002741,光华科技,0.02,41.86,,1.1,,878.56,42.07,,04-29
453,600697,欧亚集团,0.29,0.0,,2.16,,4635.88,0.35,,04-29
454,600325,华发股份,0.36,1700.0,,3.2,,42069.72,1546.81,,04-29
455,600715,文投控股,0.14,-36.36,,4.85,,22633.45,25.61,,04-29
456,600345,长江通信,0.33,450.0,,4.88,,6486.74,408.2,,04-29
457,601801,皖新传媒,0.31,14.81,,7.05,,62505.6,154.98,,04-29
458,600365,通葡股份,0.01,0.0,,0.32,,221.1,13.12,,04-29
459,000780,*ST平能,-0.02,-73.81,,-0.55,,-2253.15,-73.55,,04-29
460,600747,*ST大控,-0.01,-33.33,,-0.47,,-932.31,-30.98,,04-29
461,601899,紫金矿业,0.05,1466.67,,3.54,,100563.35,1477.2,,04-29
462,600006,东风汽车,0.04,-42.01,,1.08,,7031.14,-42.04,,04-29
463,601919,中远海控,0.03,-106.82,,1.46,,27014.05,-106.02,,04-29
464,000007,全新好,,,,0.07,,27.69,-96.39,,04-29
465,600388,龙净环保,0.08,14.29,,2.08,,8408.87,9.92,,04-29
466,600770,综艺股份,0.01,-42.86,,0.3,,1029.73,-42.94,,04-29
467,601997,贵阳银行,0.42,-6.67,9.57,4.48,3.46,96692.5,19.56,,04-29
468,600408,安泰集团,-0.05,-58.33,,-5.12,,-4814.66,-59.68,,04-29
469,600058,五矿发展,0.01,-94.29,,0.19,,925.97,-94.27,,04-29
470,600806,*ST昆机,-0.11,120.0,,-15.17,,-5895.06,120.61,,04-29
471,603033,三维股份,0.08,-52.94,,0.65,,734.97,-34.59,,04-29
472,000886,海南高速,0.06,250.0,,2.12,,5544.67,253.32,,04-29
473,600823,世茂股份,0.09,-30.77,,1.24,,24642.11,-2.62,,04-29
474,000158,常山股份,-0.01,-52.38,,-0.22,,-1240.88,-54.01,,04-29
475,600485,信威集团,-0.09,-156.25,,-2.0,,-27749.53,-159.77,,04-29
