,broker,count,bamount,bcount,samount,scount,top3
406,安信证券股份有限公司梅州兴宁迎宾大道证券营业部,1,0.0,0,441.79,1,中房地产
407,海通证券股份有限公司宁波解放北路证券营业部,1,0.0,0,607.5,1,华东科技
408,华林证券股份有限公司深圳海秀路证券营业部,1,0.0,0,413.94,1,中房地产
409,国海证券股份有限公司济南历山路证券营业部,1,0.0,0,6933.6,1,中房地产
410,东海证券股份有限公司厦门祥福路证券营业部,1,0.0,0,5571.81,1,中房地产
411,华林证券股份有限公司拉萨柳梧新区察古大道证券营业部,1,0.0,0,5537.24,1,中房地产
412,中信证券股份有限公司绍兴兴越路证券营业部,2,2877.93,2,0.0,0,"冀东装备,广和通"
413,广发证券股份有限公司北京鲁谷路证券营业部,1,5438.71,1,0.0,0,银泰资源
414,国泰君安证券股份有限公司北京金融街证券营业部,1,3966.0,1,0.0,0,银泰资源
415,长江证券股份有限公司上海黄兴路证券营业部,3,3537.62,2,1091.75,1,"银泰资源,京汉股份"
416,华泰证券股份有限公司南京长江路证券营业部,2,1641.94,1,2059.52,1,银泰资源
417,财通证券股份有限公司杭州环城西路证券营业部,1,383.11,1,0.0,0,银泰资源
418,国融证券股份有限公司赤峰玉龙大街证券营业部,1,0.0,0,4242.51,1,银泰资源
419,华龙证券股份有限公司新昌十九峰路证券营业部,1,0.0,0,437.05,1,银泰资源
420,国元证券股份有限公司淮南朝阳西路证券营业部,2,639.82,1,694.02,1,"博云新材,中成股份"
421,安信证券股份有限公司陕西分公司,1,464.53,1,0.0,0,博云新材
422,浙商证券股份有限公司金华后街证券营业部,2,3263.21,2,0.0,0,"冀东水泥,横店东磁"
423,海通证券股份有限公司上海余姚路证券营业部,1,0.0,0,2848.26,1,横店东磁
424,海通证券股份有限公司天津霞光道证券营业部,11,7700.89,7,6020.12,4,"中成股份,太空板业,生意宝,"
425,华宝证券有限责任公司舟山解放西路证券营业部,4,7149.9,3,4289.57,1,"华斯股份,银龙股份,中油工程"
426,中泰证券股份有限公司青岛凤凰山路证券营业部,1,0.0,0,633.26,1,博云新材
427,新时代证券股份有限公司深圳福华一路证券营业部,1,4140.28,1,0.0,0,光正集团
428,中泰证券股份有限公司潍坊滨海经济开发区海化街证券营业部,1,0.0,0,454.57,1,博云新材
429,国联证券股份有限公司海门长江南路证券营业部,1,3898.45,1,0.0,0,光正集团
430,中国银河证券股份有限公司金华证券营业部,3,0.0,0,886.23,3,"博云新材,微光股份,超频三"
431,浙商证券股份有限公司东阳新南路证券营业部,3,0.0,0,1933.65,3,"横店东磁,易事特,英洛华"
432,申万宏源证券有限公司上海嘉定区塔城路证券营业部,3,1023.8,2,5014.11,1,"中航黑豹,*ST东数,华斯股份"
433,华福证券有限责任公司连江丹凤东路证券营业部,2,2216.46,1,1616.37,1,"汉钟精机,华斯股份"
434,安信证券股分有限公司广州南沙进港大道证券营业部,1,2748.42,1,0.0,0,光正集团
435,信达证券股份有限公司温岭万昌中路证券营业部,1,2540.19,1,0.0,0,光正集团
436,湘财证券股份有限公司沈阳绥化西街证券营业部,1,0.0,0,1242.65,1,华斯股份
437,安信证券股份有限公司广州猎德大道证券营业部,2,1077.82,1,1169.93,1,华斯股份
438,招商证券股份有限公司武汉中北路证券营业部,1,0.0,0,2701.66,1,光正集团
439,中信建投证券股份有限公司慈溪三北西大街证券营业部,1,0.0,0,2370.87,1,光正集团
440,华鑫证券有限责任公司上海斜土路证券营业部,2,2925.34,1,1.96,1,"中化岩土,鸣志电器"
441,海通证券股份有限公司长沙五一大道证券营业部,4,3001.58,3,1118.45,1,"中化岩土,渤海股份,迪贝电气"
442,方正证券股份有限公司长沙五一东路证券营业部,1,1396.35,1,0.0,0,中化岩土
443,南京证券股份有限公司南京大钟亭证券营业部,3,2498.96,1,4834.77,2,"清源股份,中化岩土"
444,财通证券股份有限公司温岭中华路证券营业部,9,8992.3,6,6023.98,3,"永和智控,华建集团,无锡银行,"
445,兴业证券股份有限公司成都航空路证券营业部,1,634.62,1,0.0,0,永和智控
446,华泰证券股份有限公司南宁中泰路证券营业部,5,3943.81,3,4648.24,2,"江阴银行,渤海股份,河北宣工"
447,申万宏源证券有限公司南通青年中路证券营业部,2,0.0,0,1529.27,2,永和智控
448,华安证券股份有限公司北京中关村大街证券营业部,2,1553.32,2,0.0,0,"江阴银行,张家港行"
449,长江证券股份有限公司福州五一北路证券营业部,2,0.0,0,471.32,2,"永和智控,正元智慧"
450,中泰证券股份有限公司烟台环山路证券营业部,3,613.86,1,435.99,2,"易事特,永和智控,新日股份"
451,平安证券股份有限公司长沙五一大道证券营业部,1,1025.28,1,0.0,0,吉宏股份
452,华福证券有限责任公司晋江新华街证券营业部,3,0.0,0,10388.73,3,"江阴银行,海虹控股"
453,申万宏源西部证券有限公司乌鲁木齐和平北路证券营业部,1,794.28,1,0.0,0,吉宏股份
454,中信证券股份有限公司北京复外大街证券营业部,2,730.6,2,0.0,0,"吉宏股份,航天机电"
455,财通证券股份有限公司温州人民东路证券营业部,2,0.0,0,4237.6,2,"天山生物,江阴银行"
456,国盛证券有限责任公司赣州信丰阳明北路证券营业部,1,0.0,0,660.36,1,吉宏股份
457,中泰证券股份有限公司宁波北仑恒山路证券营业部,1,0.0,0,582.3,1,吉宏股份
458,申万宏源证券有限公司成都西一环路证券营业部,2,658.78,1,671.37,1,新宏泽
459,光大证券股份有限公司宁波孝闻街证券营业部,3,0.0,0,2362.34,3,"五洋科技,乐心医疗,新宏泽"
460,国泰君安证券股份有限公司广州东风中路证券营业部,1,3017.53,1,0.0,0,力盛赛车
461,华泰证券股份有限公司上海澳门路证券营业部,6,5348.59,4,1531.35,2,"正元智慧,力盛赛车,北部湾港,"
462,申万宏源证券有限公司上海黄浦区雁荡路证券营业部,1,249.98,1,0.0,0,瀛通通讯
463,财通证券股份有限公司常熟枫林路证券营业部,3,1549.68,2,1710.92,1,"力盛赛车,银之杰"
464,湘财证券股份有限公司长沙新民路证券营业部,1,1713.21,1,0.0,0,今飞凯达
465,大通证券股份有限公司新余仙来中大道证券营业部,1,240.05,1,0.0,0,瀛通通讯
466,华泰证券股份有限公司江西分公司,3,1393.19,2,724.93,1,力盛赛车
467,东方证券股份有限公司义乌宾王路证券营业部,9,5400.43,6,3423.48,3,"今飞凯达,钧达股份,传艺科技,"
468,国信证券股份有限公司成都二环路证券营业部,7,2802.26,4,3051.32,3,"传艺科技,今飞凯达,英洛华,"
469,东海证券股份有限公司洛阳周山路证券营业部,4,1265.17,1,2485.58,3,"力盛赛车,传艺科技"
470,华泰证券股份有限公司广州体育东路证券营业部,2,1217.44,2,0.0,0,今飞凯达
471,东海证券股份有限公司长沙韶山北路证券营业部,10,5893.69,7,1878.14,3,"今飞凯达,透景生命,正元智慧,"
472,中国银河证券股份有限公司上海安业路证券营业部,2,0.0,0,300.29,2,"瀛通通讯,友讯达"
473,海通证券股份有限公司上海玉田支路证券营业部,2,0.0,0,1454.68,2,力盛赛车
474,华鑫证券有限责任公司西安解放路证券营业部,2,521.65,1,932.72,1,"三超新材,今飞凯达"
475,大同证券有限责任公司衡阳解放大道证券营业部,2,111.46,1,122.61,1,钧达股份
476,国泰君安证券股份有限公司常州延陵中路证券营业部,2,0.0,0,505.57,2,"力盛赛车,传艺科技"
477,招商证券股份有限公司深圳科技园高新南一道证券营业部,4,45.12,3,2.53,1,"钧达股份,绿康生化,超频三,"
478,中信证券股份有限公司杭州凤起路证券营业部,2,1902.12,2,0.0,0,"北新路桥,钧达股份"
479,国信证券股份有限公司绵阳兴达街证券营业部,1,0.0,0,3.42,1,传艺科技
480,国泰君安证券股份有限公司南京太平南路证券营业部,3,904.76,1,943.54,2,"清源股份,钧达股份"
481,安信证券股份有限公司佛山南海大道证券营业部,1,0.0,0,1.27,1,钧达股份
482,国信证券股份有限公司深圳福中一路证券营业部,1,12.52,1,0.0,0,绿康生化
483,广发证券股份有限公司广州农林下路证券营业部,1,0.0,0,1.32,1,绿康生化
