,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
0,11949189614,394745974498,11236155,57763822,620476395,395366450893,2017-01-03
0,15111669330,394327908532,10668831,57911994,615399668,394943308200,2017-01-04
0,14060627375,393350744378,10984438,60645257,648842890,393999587268,2017-01-05
0,13797467633,391952345803,8052902,54472696,584344284,392536690087,2017-01-06
0,13112550223,391750039175,11537817,56296264,596182624,392346221799,2017-01-09
0,13157783401,391175614544,10468762,58168501,620521071,391796135615,2017-01-10
0,12361362225,390542979631,11533943,60529909,618242435,391161222066,2017-01-11
0,11647984852,389794524910,15121077,65290623,621970210,390416495120,2017-01-12
0,11116147615,387631682716,12087177,57985858,604390844,388236073560,2017-01-13
0,15356043369,382711116602,15134330,58960261,607145568,383318262170,2017-01-16
0,11794213852,381769300899,14018872,57514110,598972706,382368273605,2017-01-17
0,8958561038,380029756794,11299985,58001946,586710731,380616467525,2017-01-18
0,8125307205,378943281451,12779028,59836601,586261822,379529543273,2017-01-19
0,10530790003,377584695992,8345394,49089060,528149026,378112845018,2017-01-20
0,10335613172,375924758504,8791749,50421875,529214385,376453972889,2017-01-23
0,9041047244,374204949990,7776468,49323403,527599929,374732549919,2017-01-24
0,7911966894,372231791023,4710581,44121262,467743400,372699534423,2017-01-25
0,7435725013,366636429032,3537499,38439823,422630091,367059059123,2017-01-26
0,8695866266,368121106596,6937670,39640351,439800132,368560906728,2017-02-03
0,10452061008,369318742539,10794304,44836289,483487896,369802230435,2017-02-06
0,11105806736,369440695400,15514559,54584246,546533340,369987228740,2017-02-07
0,12893621358,370369891496,14414313,54406242,576794301,370946685797,2017-02-08
0,15141614685,371030527616,14013914,55503075,561664128,371592191744,2017-02-09
0,15229736678,370023688362,13372376,56434388,590810792,370614499154,2017-02-10
0,17360875528,371773131543,12549587,55885160,600500306,372373631849,2017-02-13
0,14689965172,371939212452,12658097,58252846,600577726,372539790178,2017-02-14
0,16873620070,372247251703,12994938,60143489,618195635,372865447338,2017-02-15
0,14793446256,372898162092,12138118,61973484,636083711,373534245803,2017-02-16
0,16268062360,372130248824,12203282,59413234,632551940,372762800764,2017-02-17
0,16232023554,373138699066,19434558,64806060,650383065,373789082131,2017-02-20
0,18091517689,373745588179,29140056,77175129,705842601,374451430780,2017-02-21
0,18172519958,374576140560,19235401,82159138,729766318,375305906878,2017-02-22
0,19339619030,375637683876,13071669,80145830,727453534,376365137410,2017-02-23
0,16124099082,375760265714,9831233,72652598,660141853,376420407567,2017-02-24
0,16162769425,376829968769,12736676,74901987,690020377,377519989146,2017-02-27
0,14472905322,377488393036,9964819,74170204,686117980,378174511016,2017-02-28
0,16507079855,377280353048,13573637,77494301,705500734,377985853782,2017-03-01
0,16954025016,378053345097,12350904,76723209,713765603,378767110700,2017-03-02
0,16450202304,377674049528,12539163,68963678,646816874,378320866402,2017-03-03
0,19147911090,378972197886,13765173,70654092,687743667,379659941553,2017-03-06
0,17912923095,379123093211,11277405,73449885,702939388,379826032599,2017-03-07
0,15501066100,378953932164,8514996,71944392,693052847,379646985011,2017-03-08
0,16205793584,378949143181,11326172,72631324,685954479,379635097660,2017-03-09
0,14937126039,377849511065,10742030,71432109,677296954,378526808019,2017-03-10
0,18856515008,379013958858,15157675,76026377,730488967,379744447825,2017-03-13
0,18161667290,379909565928,11298186,73816983,716963002,380626528930,2017-03-14
0,16955585743,379950404113,11634756,73225239,702228226,380652632339,2017-03-15
0,23353204991,383764251100,16502890,77285087,737466282,384501717382,2017-03-16
0,22164488774,382898499518,11258827,68684275,712121523,383610621041,2017-03-17
0,18600990191,384132997560,9253670,66143252,653076404,384786073964,2017-03-20
0,18264124818,384284813049,9956346,68349274,687927580,384972740629,2017-03-21
0,20810463389,384541330120,14707043,72092224,709138505,385250468625,2017-03-22
0,20801553314,384632865898,14672198,59402358,700136756,385333002654,2017-03-23
0,20685102493,383993029461,16889123,60831077,679255591,384672285052,2017-03-24
0,19375850448,385900699955,16568821,63516077,694949450,386595649405,2017-03-27
0,16877697760,386183702432,14395464,63220030,678208309,386861910741,2017-03-28
0,19286847975,385563005382,14278664,59292931,659850422,386222855804,2017-03-29
0,20605958663,385688599780,14620942,55103393,623227769,386311827549,2017-03-30
0,14203877390,382325026657,11142235,50566677,571076182,382896102839,2017-03-31
0,22758189355,384442441952,15730543,51875814,594428393,385036870345,2017-04-05
0,20345070015,384961218858,11339052,51045217,606341755,385567560613,2017-04-06
0,21378840034,383933163652,13592641,51685650,589687016,384522850668,2017-04-07
0,26157329344,386265028300,22151090,62154937,672370255,386937398555,2017-04-10
0,30469100048,387348297907,23451809,65736330,704174705,388052472612,2017-04-11
0,27610892261,387713564400,41406262,87204218,828519941,388542084341,2017-04-12
0,22255508196,388524268944,33124869,95557897,877819534,389402088478,2017-04-13
0,22670903073,387706209942,24224965,93916653,857564844,388563774786,2017-04-14
0,19198229123,388109786933,32364832,101340269,881685055,388991471988,2017-04-17
0,17980531616,386236888106,26976693,104811777,905857044,387142745150,2017-04-18
0,18642822589,384486555012,20505278,92675971,838452120,385325007132,2017-04-19
0,17990972958,382716449362,28132125,101801126,893709937,383610159299,2017-04-20
0,14552426798,379943014518,18371323,92372422,796274811,380739289329,2017-04-21
0,15215277655,378316681804,23971654,97948717,869452935,379186134739,2017-04-24
0,14994342958,377254940535,21949743,96327199,857543038,378112483573,2017-04-25
0,17881909074,376423507353,25397756,97771752,887807303,377311314656,2017-04-26
0,21505698931,376495106174,24610273,100285400,919708412,377414814586,2017-04-27
0,17226198326,374349358837,23017906,94863556,878053063,375227411900,2017-04-28
0,17649680633,375041419004,26482240,100885838,959785164,376001204168,2017-05-02
0,17741643948,375820955568,22916109,97481664,925632246,376746587814,2017-05-03
0,18456152266,375995426997,35893848,111876077,1008785152,377004212149,2017-05-04
0,16477259864,374233126915,19075550,96123580,930631659,375163758574,2017-05-05
0,16221856254,372686897686,35590649,111756088,1000992299,373687889985,2017-05-08
0,12761271778,371271763184,20338331,98754437,939539569,372211302753,2017-05-09
0,14497786479,368355233386,32632504,109988699,1009791285,369365024671,2017-05-10
0,14901528683,365435605315,29106268,108129956,995940583,366431545898,2017-05-11
