,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
0,27402626573,484575797895,4573160,102836053,772108644,485347906539,2016-01-04
0,33426737789,475037821454,4279198,102368063,757383802,475795205256,2016-01-05
0,29252419826,471911650743,1484979,101159077,760843433,472672494176,2016-01-06
0,7894567602,466443947090,255600,100044022,689704107,467133651197,2016-01-07
0,28983324654,455663747282,2049550,99968306,704908892,456368656174,2016-01-08
0,24058303886,439819813926,2312555,99393255,669283223,440489097149,2016-01-11
0,21556485360,432250707788,1361947,95564657,661841749,432912549537,2016-01-12
0,19636801143,423530065764,1082350,92744199,637733462,424167799226,2016-01-13
0,24159812648,420059853764,1351300,90157483,644689652,420704543416,2016-01-14
0,21281323158,412017156874,2202592,88097175,614315699,412631472573,2016-01-15
0,22880940620,412908216832,596892,86136998,612292337,413520509169,2016-01-18
0,26562328352,411926731181,531000,84259831,626328155,412553059336,2016-01-19
0,24839854251,409586464227,1042400,81415420,597467501,410183931728,2016-01-20
0,22261040119,405270608058,1758300,81686605,579370977,405849979035,2016-01-21
0,19608786471,404318829793,880025,81212830,583888338,404902718131,2016-01-22
0,16952659222,402203566211,961600,81008762,584489080,402788055291,2016-01-25
0,19015095913,392046422005,2462900,81358259,530829020,392577251025,2016-01-26
0,20681629682,383390619246,701095,78303887,517920146,383908539392,2016-01-27
0,14532628141,375998689752,2890784,80538553,526558363,376525248115,2016-01-28
0,17667724585,374074144236,1309100,73411344,528515298,374602659534,2016-01-29
0,13266558820,369246465622,845300,72561773,518686590,369765152212,2016-02-01
0,17196981603,369258699665,1213641,68583695,523112893,369781812558,2016-02-02
0,14743087081,366339438448,1200100,66920426,518007482,366857445930,2016-02-03
0,18105234419,364055761650,1061600,65105799,510155003,364565916653,2016-02-04
0,11949817220,355841975713,1210000,58747650,453296615,356295272328,2016-02-05
0,15419275107,357997001779,3047141,60430950,476853093,358473854872,2016-02-15
0,23146201614,360765112587,6036202,64434010,513147277,361278259864,2016-02-16
0,23668100598,361581753584,1756440,64474896,520306139,362102059723,2016-02-17
0,26000421233,363338319105,3013985,65985667,522769539,363861088644,2016-02-18
0,21189658523,363928803190,1132653,62588592,507699937,364436503127,2016-02-19
0,27980919130,365896479440,3055227,63908502,521636713,366418116153,2016-02-22
0,24771846449,365762933506,897946,63375066,524339592,366287273098,2016-02-23
0,24126887794,366548524791,1596324,63881946,523697059,367072221850,2016-02-24
0,26004096589,359870572258,3691507,64157899,492443018,360363015276,2016-02-25
0,18515493989,357625014971,2302600,62191007,475242268,358100257239,2016-02-26
0,15954440375,349830134491,3842196,64695672,473495704,350303630195,2016-02-29
0,18113183230,348407484917,1695356,63835803,479273379,348886758296,2016-03-01
0,25495180892,350026780836,2413100,63413434,504544461,350531325297,2016-03-02
0,27911603537,351166323022,2070561,63682242,500713920,351667036942,2016-03-03
0,23107469138,346275888727,1967079,60880642,477013647,346752902374,2016-03-04
0,20098767237,348322401889,1822869,61408018,486432187,348808834076,2016-03-07
0,22259291896,348089980926,3039244,60578102,495892939,348585873865,2016-03-08
0,16951213927,346510690799,2089779,61281106,495202566,347005893365,2016-03-09
0,13872157961,344711535606,1158875,59233600,479123949,345190659555,2016-03-10
0,11493723932,343658632343,1163251,58401795,471103073,344129735416,2016-03-11
0,23305161496,346937834506,2048120,56665692,471680476,347409514982,2016-03-14
0,17262826702,344817356623,3090658,58538872,474098712,345291455335,2016-03-15
0,16262718463,343303261117,1179050,58240849,471635005,343774896122,2016-03-16
0,29186721307,348891009503,3274401,57729504,492837107,349383846610,2016-03-17
0,37543969217,350310906516,4972665,58197852,506900624,350817807140,2016-03-18
