,code,name,date,weight
146,000830,鲁西化工,2017-04-05,0.14
147,300055,万邦达,2017-04-05,0.25
148,600801,华新水泥,2017-04-05,0.12
149,000547,航天发展,2017-04-05,0.36
150,600639,浦东金桥,2017-04-05,0.15
151,002078,太阳纸业,2017-04-05,0.22
152,000930,中粮生化,2017-04-05,0.31
153,002001,新 和 成,2017-04-05,0.26
154,600600,青岛啤酒,2017-04-05,0.22
155,603077,和邦生物,2017-04-05,0.15
156,600594,益佰制药,2017-04-05,0.28
157,002482,广田集团,2017-04-05,0.15
158,002491,通鼎互联,2017-04-05,0.26
159,000566,海南海药,2017-04-05,0.27
160,600079,人福医药,2017-04-05,0.44
161,600787,中储股份,2017-04-05,0.26
162,600835,上海机电,2017-04-05,0.17
163,002396,星网锐捷,2017-04-05,0.15
164,600073,上海梅林,2017-04-05,0.17
165,000090,天健集团,2017-04-05,0.14
166,600436,片仔癀,2017-04-05,0.38
167,600993,马应龙,2017-04-05,0.17
168,000681,视觉中国,2017-04-05,0.13
169,603377,东方时尚,2017-04-05,0.05
170,002663,普邦股份,2017-04-05,0.13
171,000598,兴蓉环境,2017-04-05,0.26
172,600687,刚泰控股,2017-04-05,0.19
173,600971,恒源煤电,2017-04-05,0.11
174,300122,智飞生物,2017-04-05,0.22
175,600312,平高电气,2017-04-05,0.28
176,002013,中航机电,2017-04-05,0.27
177,600478,科力远,2017-04-05,0.23
178,600521,华海药业,2017-04-05,0.34
179,300274,阳光电源,2017-04-05,0.18
180,000777,中核科技,2017-04-05,0.18
181,600201,生物股份,2017-04-05,0.51
182,002221,东华能源,2017-04-05,0.26
183,300159,新研股份,2017-04-05,0.28
184,300115,长盈精密,2017-04-05,0.38
185,601717,郑煤机,2017-04-05,0.19
186,601001,大同煤业,2017-04-05,0.13
187,600673,东阳光科,2017-04-05,0.31
188,600657,信达地产,2017-04-05,0.11
189,600655,豫园商城,2017-04-05,0.28
190,600643,爱建集团,2017-04-05,0.48
191,600551,时代出版,2017-04-05,0.1
192,600503,华丽家族,2017-04-05,0.3
193,600481,双良节能,2017-04-05,0.16
194,600460,士兰微,2017-04-05,0.12
195,600380,健康元,2017-04-05,0.19
196,600315,上海家化,2017-04-05,0.39
197,600289,亿阳信通,2017-04-05,0.14
198,600277,亿利洁能,2017-04-05,0.16
199,600175,美都能源,2017-04-05,0.17
200,600143,金发科技,2017-04-05,0.31
201,600086,东方金钰,2017-04-05,0.18
202,300291,华录百纳,2017-04-05,0.16
203,300266,兴源环境,2017-04-05,0.33
204,300134,大富科技,2017-04-05,0.22
205,300088,长信科技,2017-04-05,0.35
206,002642,荣之联,2017-04-05,0.15
207,002512,达华智能,2017-04-05,0.16
208,002505,大康农业,2017-04-05,0.14
209,002489,浙江永强,2017-04-05,0.21
210,002400,省广股份,2017-04-05,0.31
211,002399,海普瑞,2017-04-05,0.19
212,002384,东山精密,2017-04-05,0.24
213,002268,卫 士 通,2017-04-05,0.21
214,002168,深圳惠程,2017-04-05,0.34
215,002128,露天煤业,2017-04-05,0.14
216,002122,天马股份,2017-04-05,0.15
217,002025,航天电器,2017-04-05,0.16
218,000979,中弘股份,2017-04-05,0.23
219,000937,冀中能源,2017-04-05,0.19
220,000829,天音控股,2017-04-05,0.16
221,000723,美锦能源,2017-04-05,0.06
222,000656,金科股份,2017-04-05,0.55
223,000652,泰达股份,2017-04-05,0.15
224,000099,中信海直,2017-04-05,0.12
225,600699,均胜电子,2017-04-05,0.31
226,002242,九阳股份,2017-04-05,0.14
227,603806,福斯特,2017-04-05,0.09
228,002028,思源电气,2017-04-05,0.2
229,600064,南京高科,2017-04-05,0.22
230,002670,国盛金控,2017-04-05,0.09
231,600809,山西汾酒,2017-04-05,0.19
232,002092,中泰化学,2017-04-05,0.42
233,000806,银河生物,2017-04-05,0.19
234,600122,宏图高科,2017-04-05,0.29
235,002368,太极股份,2017-04-05,0.15
236,002327,富安娜,2017-04-05,0.1
237,002503,搜于特,2017-04-05,0.16
238,600823,世茂股份,2017-04-05,0.14
239,002277,友阿股份,2017-04-05,0.16
240,600917,重庆燃气,2017-04-05,0.05
241,002589,瑞康医药,2017-04-05,0.2
242,002479,富春环保,2017-04-05,0.16
243,600141,兴发集团,2017-04-05,0.13
244,000066,中国长城,2017-04-05,0.5
245,002048,宁波华翔,2017-04-05,0.24
246,600348,阳泉煤业,2017-04-05,0.21
247,002281,光迅科技,2017-04-05,0.19
248,600166,福田汽车,2017-04-05,0.38
249,000488,晨鸣纸业,2017-04-05,0.26
250,600366,宁波韵升,2017-04-05,0.18
251,002602,世纪华通,2017-04-05,0.28
252,603568,伟明环保,2017-04-05,0.08
253,002640,跨境通,2017-04-05,0.18
254,600618,氯碱化工,2017-04-05,0.07
255,000572,海马汽车,2017-04-05,0.17
256,000848,承德露露,2017-04-05,0.16
257,002595,豪迈科技,2017-04-05,0.24
258,000587,金洲慈航,2017-04-05,0.16
259,600270,外运发展,2017-04-05,0.16
260,600869,智慧能源,2017-04-05,0.13
261,000969,安泰科技,2017-04-05,0.13
262,000636,风华高科,2017-04-05,0.16
263,000816,智慧农业,2017-04-05,0.19
264,600466,蓝光发展,2017-04-05,0.2
265,002022,科华生物,2017-04-05,0.2
266,600565,迪马股份,2017-04-05,0.24
267,600062,华润双鹤,2017-04-05,0.21
268,603866,桃李面包,2017-04-05,0.05
269,002701,奥瑞金,2017-04-05,0.28
270,600572,康恩贝,2017-04-05,0.21
271,000669,金鸿能源,2017-04-05,0.15
272,603355,莱克电气,2017-04-05,0.1
273,000021,深科技,2017-04-05,0.17
274,600682,南京新百,2017-04-05,0.4
275,600759,洲际油气,2017-04-05,0.22
276,600026,中远海能,2017-04-05,0.24
277,600863,内蒙华电,2017-04-05,0.24
278,600292,远达环保,2017-04-05,0.11
279,600138,中青旅,2017-04-05,0.31
280,600497,驰宏锌锗,2017-04-05,0.3
281,002244,滨江集团,2017-04-05,0.16
282,600039,四川路桥,2017-04-05,0.22
283,600563,法拉电子,2017-04-05,0.15
284,600499,科达洁能,2017-04-05,0.22
285,002308,威创股份,2017-04-05,0.18
286,600059,古越龙山,2017-04-05,0.12
287,601678,滨化股份,2017-04-05,0.15
288,002250,联化科技,2017-04-05,0.21
289,002422,科伦药业,2017-04-05,0.34
290,600267,海正药业,2017-04-05,0.18
291,002073,软控股份,2017-04-05,0.17
292,002407,多氟多,2017-04-05,0.38
293,600067,冠城大通,2017-04-05,0.18
294,000616,海航投资,2017-04-05,0.14
295,600751,天海投资,2017-04-05,0.26
296,000631,顺发恒业,2017-04-05,0.09
297,300166,东方国信,2017-04-05,0.16
298,002665,首航节能,2017-04-05,0.24
299,600483,福能股份,2017-04-05,0.09
300,000685,中山公用,2017-04-05,0.2
301,601886,江河集团,2017-04-05,0.13
302,000825,太钢不锈,2017-04-05,0.28
303,600187,国中水务,2017-04-05,0.19
304,000999,华润三九,2017-04-05,0.26
305,600596,新安股份,2017-04-05,0.13
306,000975,银泰资源,2017-04-05,0.23
307,002477,雏鹰农牧,2017-04-05,0.2
308,600664,哈药股份,2017-04-05,0.29
309,002063,远光软件,2017-04-05,0.15
310,600240,华业资本,2017-04-05,0.27
311,600053,九鼎投资,2017-04-05,0.13
312,002030,达安基因,2017-04-05,0.27
313,600184,光电股份,2017-04-05,0.09
314,002254,泰和新材,2017-04-05,0.13
315,002672,东江环保,2017-04-05,0.21
316,600006,东风汽车,2017-04-05,0.13
317,600468,百利电气,2017-04-05,0.07
318,000869,张 裕Ａ,2017-04-05,0.12
319,300257,开山股份,2017-04-05,0.19
320,002269,美邦服饰,2017-04-05,0.14
321,600426,华鲁恒升,2017-04-05,0.29
322,600750,江中药业,2017-04-05,0.16
323,600525,长园集团,2017-04-05,0.49
324,600651,飞乐音响,2017-04-05,0.18
325,002345,潮宏基,2017-04-05,0.11
326,603766,隆鑫通用,2017-04-05,0.22
327,600587,新华医疗,2017-04-05,0.18
328,600808,马钢股份,2017-04-05,0.25
329,601168,西部矿业,2017-04-05,0.36
330,600894,广日股份,2017-04-05,0.14
331,002266,浙富控股,2017-04-05,0.19
332,002123,梦网荣信,2017-04-05,0.15
333,600251,冠农股份,2017-04-05,0.1
334,600743,华远地产,2017-04-05,0.11
335,600880,博瑞传播,2017-04-05,0.15
336,000552,靖远煤电,2017-04-05,0.13
337,600307,酒钢宏兴,2017-04-05,0.25
338,300043,星辉娱乐,2017-04-05,0.11
339,002745,木林森,2017-04-05,0.07
340,300147,香雪制药,2017-04-05,0.13
341,600790,轻纺城,2017-04-05,0.13
342,601777,力帆股份,2017-04-05,0.14
343,600694,大商股份,2017-04-05,0.18
344,603555,贵人鸟,2017-04-05,0.09
345,002064,华峰氨纶,2017-04-05,0.13
346,600601,方正科技,2017-04-05,0.23
347,603698,航天工程,2017-04-05,0.09
348,002544,杰赛科技,2017-04-05,0.2
349,000919,金陵药业,2017-04-05,0.1
350,002366,台海核电,2017-04-05,0.32
351,600216,浙江医药,2017-04-05,0.17
352,600805,悦达投资,2017-04-05,0.14
353,600978,宜华生活,2017-04-05,0.33
354,600418,江淮汽车,2017-04-05,0.27
355,600195,中牧股份,2017-04-05,0.11
356,601699,潞安环能,2017-04-05,0.27
357,600058,五矿发展,2017-04-05,0.15
358,600635,大众公用,2017-04-05,0.31
359,002190,成飞集成,2017-04-05,0.13
360,002050,三花智控,2017-04-05,0.19
361,002155,湖南黄金,2017-04-05,0.21
362,600881,亚泰集团,2017-04-05,0.27
363,603567,珍宝岛,2017-04-05,0.08
364,600284,浦东建设,2017-04-05,0.17
365,002414,高德红外,2017-04-05,0.1
366,600219,南山铝业,2017-04-05,0.45
367,601311,骆驼股份,2017-04-05,0.17
368,600220,江苏阳光,2017-04-05,0.15
369,000878,云南铜业,2017-04-05,0.3
370,000517,荣安地产,2017-04-05,0.08
371,603005,晶方科技,2017-04-05,0.09
372,600864,哈投股份,2017-04-05,0.08
373,002727,一心堂,2017-04-05,0.13
374,000726,鲁 泰Ａ,2017-04-05,0.14
375,603528,多伦科技,2017-04-05,0.1
376,000012,南 玻Ａ,2017-04-05,0.25
377,600088,中视传媒,2017-04-05,0.06
378,600776,东方通信,2017-04-05,0.1
379,600022,山东钢铁,2017-04-05,0.23
380,002444,巨星科技,2017-04-05,0.23
381,300273,和佳股份,2017-04-05,0.19
382,002011,盾安环境,2017-04-05,0.13
383,002029,七 匹 狼,2017-04-05,0.12
384,000931,中 关 村,2017-04-05,0.12
385,600826,兰生股份,2017-04-05,0.13
386,600395,盘江股份,2017-04-05,0.13
387,001696,宗申动力,2017-04-05,0.15
388,600537,亿晶光电,2017-04-05,0.14
389,002463,沪电股份,2017-04-05,0.15
390,600633,浙数文化,2017-04-05,0.25
391,600981,汇鸿集团,2017-04-05,0.05
392,002251,步 步 高,2017-04-05,0.09
393,600500,中化国际,2017-04-05,0.29
394,002344,海宁皮城,2017-04-05,0.13
395,300026,红日药业,2017-04-05,0.31
396,600757,长江传媒,2017-04-05,0.12
397,300010,立思辰,2017-04-05,0.17
398,603328,依顿电子,2017-04-05,0.08
399,000078,海王生物,2017-04-05,0.24
