,code,name,mbrg,nprg,nav,targ,epsg,seg
1758,002363,隆基机械,11.6004,1.1779,2.1929,7.7212,-14.2857,2.4738
1759,300531,优博讯,4.8455,1.1687,104.8802,89.443,-24.0,104.8802
1760,600048,保利地产,-5.1406,1.1459,21.7351,21.7955,23.0769,25.2604
1761,601328,交通银行,,1.1388,17.1032,17.9527,0.0,17.180999999999997
1762,002742,三圣股份,4.7868,1.1373,9.7177,29.877,-33.3333,3.6529
1763,002737,葵花药业,9.4048,1.0572,7.487,10.6285,2.0297,7.534
1764,002822,中装建设,6.9921,1.011,,,0.0,
1765,600985,雷鸣科化,9.1451,0.9999,6.7715,4.8118,-16.6667,6.9632
1766,000788,北大医药,13.9413,0.9592,0.59,-32.5487,0.0,0.7229
1767,000902,新洋丰,0.5188,0.9567,6.468999999999999,16.4456,-48.4848,10.2708
1768,600781,辅仁药业,42.5189,0.9478,3.3898,13.8647,1.9481,4.7908
1769,002687,乔治白,-3.6677,0.8936,2.7434,1.9363,-33.3333,0.8617
1770,002807,江阴银行,,0.8138,18.7849,10.9114,-12.8634,19.6193
1771,300382,斯莱克,-4.0497,0.7938,46.7183,36.5573,-8.3333,48.9672
1772,300333,兆日科技,15.4054,0.7934,0.7658,0.8257,2.6201,0.7854
1773,300611,美力科技,17.4126,0.7836,,,-5.8824,
1774,002158,汉钟精机,32.9218,0.7733,6.7491,9.3841,-43.2069,5.8414
1775,600587,新华医疗,18.6898,0.7693,1.7113,14.5832,0.0,0.4727
1776,603797,联泰环保,-9.5598,0.6695,,,0.0,
1777,600757,长江传媒,-10.4346,0.645,10.4403,-9.2772,9.0909,10.415999999999999
1778,002765,蓝黛传动,12.2795,0.6097,6.1216,49.123000000000005,0.0,8.1554
1779,300543,朗科智能,18.6619,0.5607,,,-24.0,
1780,600118,中国卫星,13.1078,0.5507,7.1309,11.2807,0.0,6.1827
1781,600766,园城黄金,-5.8138,0.502,10.5347,0.2295,0.0,10.5347
1782,601311,骆驼股份,14.4203,0.4853,12.1077,27.0986,0.0,10.8192
1783,601789,宁波建工,-1.0729,0.3839,5.9878,3.8588,-49.1493,6.0667
1784,002533,金杯电工,12.1331,0.3428,7.4116,5.2268,-8.6957,8.8172
1785,603328,依顿电子,8.0665,0.3219,8.9495,11.4029,0.0,8.9495
1786,600076,康欣新材,-9.442,0.3066,14.7997,15.6427,0.0,14.4993
1787,000928,中钢国际,0.9258,0.3027,45.7141,6.3079,-7.0243,45.3672
1788,002733,雄韬股份,2.5843,0.1735,80.617,46.4682,-14.2857,81.6613
1789,600562,国睿科技,6.1509,0.1407,72.3356,36.202,0.0,72.3356
1790,002318,久立特材,8.8553,0.13699999999999998,4.7765,3.2979,0.0,6.1809
1791,600917,重庆燃气,-1.4984,0.1258,6.1186,3.3948,0.0,4.044
1792,002444,巨星科技,6.9375,0.0724,11.6936,6.0864,0.0,11.5041
1793,002081,金螳螂,3.9391,0.0496,15.3913,12.2471,-31.269000000000002,14.9127
1794,002550,千红制药,55.5235,-0.0353,3.3633,4.0398,-49.9089,3.4809
1795,603309,维力医疗,15.684000000000001,-0.0499,10.6784,10.975,0.0,10.0931
1796,300620,光库科技,25.0183,-0.2489,,,-0.3427,
1797,600170,上海建工,-1.2732,-0.2535,13.6843,22.0081,-12.5,15.4302
1798,002242,九阳股份,-9.5772,-0.3054,4.5248,-8.1454,5.8824,5.1643
1799,000861,海印股份,-1.3619,-0.3168,12.7863,31.049,0.0,9.7881
1800,002627,宜昌交运,10.857000000000001,-0.6034,-5.1522,1.2158,-9.427999999999999,0.6575
1801,600859,王府井,10.9416,-0.6113,44.1364,28.7753,-39.5062,43.0518
1802,000908,景峰医药,-11.6855,-0.9708,13.1906,27.1963,-17.8649,11.217
1803,300095,华伍股份,-3.1938,-1.1320000000000001,55.8272,84.2829,-15.9292,55.6318
1804,600192,长城电工,1.8281,-1.2016,6.415,3.8614,-30.0,1.9225
1805,603609,禾丰牧业,29.1603,-1.2429,13.5713,31.836,0.0,12.618
1806,600563,法拉电子,-2.7498,-1.2606,7.9441,8.227,-2.6525,8.0326
