,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
975,000153,丰原药业,0.8787,409.6961,1.3565,265.3889,0.42700000000000005,843.0913
976,600833,第一医药,2.8389,126.8097,1.355,265.6827,0.6346,567.2865
977,002853,皮阿诺,2.2671,158.7932,1.3536,265.9574,0.1736,2073.7327
978,002610,爱康科技,0.4372,823.4218,1.3535,265.9771,0.1462,2462.3803
979,600480,凌云股份,1.392,258.6207,1.3495,266.7655,0.4517,796.9892
980,300602,飞荣达,0.6679,539.0028,1.3482,267.0227,0.2595,1387.2832
981,300176,鸿特精密,1.1549,311.7153,1.3471,267.2407,0.5193,693.2409
982,002442,龙星化工,1.2245,293.9976,1.3457,267.5188,0.4063,886.0448
983,002241,歌尔股份,0.9074,396.7379,1.3438,267.897,0.3798,947.8673
984,300311,任子行,0.9243,389.4839,1.3437,267.9169,0.358,1005.5866
985,300265,通光线缆,0.32299999999999995,1114.5511,1.3419999999999999,268.2563,0.2279,1579.6402
986,002243,通产丽星,0.9408,382.6531,1.3414,268.3763,0.3747,960.7686
987,600551,时代出版,1.3361,269.4409,1.3403,268.5966,0.3327,1082.0559
988,600797,浙大网新,0.8135,442.5323,1.3387,268.9176,0.2536,1419.5584
989,600522,中天科技,0.9036,398.4064,1.338,269.0583,0.3544,1015.8014
990,002228,合兴包装,1.1382,316.2889,1.337,269.2595,0.5028,715.9905
991,600309,万华化学,4.9087,73.3392,1.3368,269.2998,0.6821,527.7819
992,002324,普利特,0.7351,489.7293,1.3362,269.4207,0.40299999999999997,893.3002
993,000953,*ST河化,5.2222,68.9365,1.3345,269.764,0.3147,1143.9466
994,600869,智慧能源,0.6463,557.0169,1.3330000000000002,270.0675,0.2941,1224.0734
995,002123,梦网荣信,0.3577,1006.43,1.3328,270.108,0.1829,1968.2887
996,000035,中国天楹,1.2313,292.3739,1.3327,270.1283,0.2999,1200.4001
997,600478,科力远,1.8763,191.86700000000002,1.3287,270.9415,0.1877,1917.9542
998,601877,正泰电器,0.6858,524.9344,1.3285,270.9823,0.2166,1662.0499
999,600449,宁夏建材,0.667,539.7301,1.3283,271.0231,0.1972,1825.5578
1000,600071,凤凰光学,0.7906,455.3504,1.3267,271.35,0.3274,1099.5724
1001,000723,美锦能源,2.4373,147.7044,1.3205,272.624,0.5913,608.828
1002,600234,ST山水,1.1085,324.7632,1.3177,273.2033,0.1856,1939.6552
1003,300050,世纪鼎利,0.3308,1088.2709,1.3168,273.39,0.1231,2924.4517
1004,300246,宝莱特,1.0339,348.1962,1.3165,273.4523,0.3855,933.8521
1005,002279,久其软件,0.7329,491.1993,1.3129,274.2021,0.1733,2077.3226
1006,600135,乐凯胶片,1.3214,272.4383,1.3126,274.2648,0.3122,1153.107
1007,600303,曙光股份,0.6845,525.9313,1.3118,274.4321,0.1736,2073.7327
1008,002782,可立克,0.9034,398.4946,1.3092,274.9771,0.2557,1407.8999
1009,000859,国风塑业,1.5085,238.6477,1.3091,274.9981,0.2744,1311.9534
1010,000902,新洋丰,8.5531,42.09,1.3088,275.0611,0.6273,573.8881
1011,002430,杭氧股份,0.6561,548.6968,1.3056,275.7353,0.2734,1316.7520000000002
1012,002577,雷柏科技,1.2995,277.0296,1.3031,276.2643,0.1818,1980.1979999999999
1013,002223,鱼跃医疗,1.0979,327.8987,1.3018,276.5402,0.2024,1778.6561
1014,002053,云南能投,2.2357,161.0234,1.2931,278.4007,0.2198,1637.8526
1015,002232,启明信息,1.2581,286.1458,1.2914,278.7672,0.2025,1777.7778
