,code,name,change,open,preclose,close,high,low,volume,amount
0,000001,上证指数,-0.9,3078.1728,3080.5269,3052.785,3090.8191,3051.5896,160794452,1816.2415
1,000002,Ａ股指数,-0.9,3223.4109,3225.8831,3196.8233,3236.6789,3195.5753,160566826,1814.8063
2,000003,Ｂ股指数,-0.82,325.1706,325.2075,322.5454,326.4957,322.1967,227627,1.4352
3,000008,综合指数,0.08,2697.8177,2700.8155,2702.9509,2722.6568,2697.8177,36600252,396.818
4,000009,上证380,-2.04,5334.0014,5334.0144,5225.2964,5353.2729,5224.5672,41805164,418.0625
5,000010,上证180,-0.31,7302.9137,7303.9279,7281.4041,7342.2785,7273.7745,51873754,584.7064
6,000011,基金指数,-0.2,5741.2005,5740.112,5728.7009,5752.4304,5728.3917,16289936,316.0384
7,000012,国债指数,-0.09,160.6507,160.6358,160.4935,160.6686,160.4716,81777,0.8155
8,000016,上证50,0.37,2315.561,2316.2944,2324.9219,2337.0466,2315.561,22318926,290.8219
9,000017,新综指,-0.9,2598.9552,2600.9518,2577.5434,2609.6534,2576.5366,160355473,1809.0144
10,000300,沪深300,-0.44,3350.6502,3352.5324,3337.7007,3369.4345,3336.003,92082628,1021.9498
11,000905,中证500,-2.1,6010.7303,6012.0016,5885.841,6038.9734,5885.5213,62645660,714.6719
12,399001,深证成指,-1.3,9875.737,9885.345,9756.809000000001,9945.612,9756.809000000001,15619341787,2208.2768
13,399002,深成指R,-1.21,11681.207,11682.124,11540.536,11763.856000000002,11540.536,7478734759,953.7536
14,399003,成份Ｂ指,0.02,5665.193,5668.149,5669.088000000001,5718.977,5662.584,9029674,0.7452
15,399004,深证100R,-0.8,4500.811,4498.778,4463.003,4535.429,4462.307,3072565590,400.1673
16,399005,中小板指,-0.76,6451.0,6448.746999999999,6399.516,6499.15,6391.932,1386188596,236.7636
17,399006,创业板指,-1.73,1801.775,1802.491,1771.319,1815.825,1771.319,1018782531,169.1099
18,399008,中小300,-1.11,1371.7089999999998,1371.743,1356.453,1380.9160000000002,1355.543,2950491584,433.8006
19,399100,新 指 数,-1.4,8132.169,8134.294,8020.396,8186.28,8019.289000000001,15396076876,2182.5328
20,399101,中小板综,-1.21,10871.159,10874.376,10743.292,10943.658000000001,10736.911,5978216226,918.3691
21,399106,深证综指,-1.36,1846.9229999999998,1847.64,1822.557,1859.38,1822.099,15619341787,2208.2768
22,399107,深证Ａ指,-1.36,1931.9360000000001,1932.6879999999999,1906.358,1944.9679999999998,1905.878,15594674910,2206.8766
23,399108,深证Ｂ指,-0.07,1079.3319999999999,1079.45,1078.675,1087.2830000000001,1077.687,24666877,1.4002
24,399333,中小板R,-0.73,7051.291,7046.363,6995.016,7103.920999999999,6986.726,1386188596,236.7636
25,399606,创业板R,-1.73,1865.71,1866.451,1834.174,1880.259,1834.174,1018782531,169.1099
