,date,bank,ON_B,ON_A,1W_B,1W_A,2W_B,2W_A,1M_B,1M_A,3M_B,3M_A,6M_B,6M_A,9M_B,9M_A,1Y_B,1Y_A
0,2014-01-02,工商银行,3.13,3.13,5.08,5.08,5.75,5.75,5.9,5.9,5.55,5.55,4.9,4.9,4.92,4.92,4.95,4.95
1,2014-01-02,农业银行,3.14,3.14,5.1,5.1,5.76,5.76,5.91,5.91,5.6,5.6,5.09,5.09,5.08,5.08,5.05,5.05
2,2014-01-02,中国银行,3.13,3.13,4.99,4.99,5.75,5.75,5.91,5.91,5.55,5.55,5.05,5.05,5.08,5.08,5.1,5.1
3,2014-01-02,建设银行,3.12,3.12,4.92,4.92,5.2,5.2,5.7,5.7,5.54,5.54,4.49,4.49,4.5,4.5,4.6,4.6
4,2014-01-02,交通银行,3.12,3.12,4.96,4.96,5.77,5.77,6.0,6.0,5.8,5.8,4.9329,4.9329,4.9532,4.9532,4.9723,4.9723
5,2014-01-02,招商银行,3.12,3.12,4.95,4.95,5.76,5.76,5.91,5.91,5.55,5.55,4.92,4.92,4.94,4.94,4.96,4.96
6,2014-01-02,中信银行,3.1,3.1,4.94,4.94,5.75,5.75,5.91,5.91,5.4,5.4,5.0,5.0,5.05,5.05,5.1,5.1
7,2014-01-02,光大银行,3.14,3.14,4.94,4.94,5.76,5.76,5.9,5.9,5.55,5.55,4.9,4.9,4.93,4.93,4.96,4.96
8,2014-01-02,兴业银行,3.12,3.12,4.98,4.98,5.79,5.79,5.92,5.92,5.6,5.6,5.2,5.2,5.1,5.1,5.0,5.0
9,2014-01-02,浦发银行,3.13,3.13,5.1,5.1,5.76,5.76,5.91,5.91,5.56,5.56,4.9178,4.9178,4.9375,4.9375,4.9582,4.9582
10,2014-01-02,北京银行,3.13,3.13,4.88,4.88,5.76,5.76,5.91,5.91,5.95,5.95,4.92,4.92,4.94,4.94,4.96,4.96
11,2014-01-02,上海银行,3.14,3.14,4.95,4.95,5.76,5.76,6.0,6.0,5.567,5.567,4.935,4.935,4.955,4.955,4.975,4.975
12,2014-01-02,汇丰中国,3.14,3.14,4.91,4.91,5.76,5.76,5.91,5.91,5.7,5.7,4.92,4.92,4.94,4.94,4.96,4.96
13,2014-01-02,渣打银行,3.13,3.13,5.08,5.08,5.74,5.74,5.91,5.91,5.56,5.56,4.92,4.92,4.94,4.94,4.96,4.96
14,2014-01-02,华夏银行,3.13,3.13,5.08,5.08,5.76,5.76,5.91,5.91,5.56,5.56,4.92,4.92,4.945,4.945,4.96,4.96
15,2014-01-02,广发银行,3.13,3.13,5.08,5.08,5.76,5.76,5.91,5.91,5.56,5.56,4.92,4.92,4.95,4.95,4.97,4.97
16,2014-01-02,邮储银行,3.14,3.14,4.93,4.93,5.76,5.76,5.91,5.91,5.6,5.6,5.1,5.1,5.0,5.0,5.0,5.0
17,2014-01-02,国开行,3.14,3.14,4.94,4.94,5.76,5.76,5.91,5.91,5.3,5.3,4.2,4.2,4.27,4.27,4.4,4.4
18,2014-01-03,工商银行,3.01,3.01,4.71,4.71,5.53,5.53,6.21,6.21,5.55,5.55,4.9,4.9,4.92,4.92,4.95,4.95
19,2014-01-03,农业银行,3.02,3.02,4.71,4.71,5.53,5.53,6.21,6.21,5.6,5.6,5.09,5.09,5.08,5.08,5.05,5.05
20,2014-01-03,中国银行,2.98,2.98,4.7,4.7,5.5,5.5,5.95,5.95,5.55,5.55,5.05,5.05,5.08,5.08,5.1,5.1
21,2014-01-03,建设银行,3.01,3.01,4.65,4.65,5.1,5.1,5.7,5.7,5.54,5.54,4.49,4.49,4.5,4.5,4.6,4.6
22,2014-01-03,交通银行,3.02,3.02,4.72,4.72,5.55,5.55,6.2,6.2,5.8,5.8,4.9407,4.9407,4.9602,4.9602,4.9749,4.9749
23,2014-01-03,招商银行,2.98,2.98,4.71,4.71,5.51,5.51,6.23,6.23,5.56,5.56,4.93,4.93,4.95,4.95,4.97,4.97
24,2014-01-03,中信银行,3.0,3.0,4.79,4.79,5.53,5.53,6.17,6.17,5.4,5.4,5.0,5.0,5.05,5.05,5.1,5.1
25,2014-01-03,光大银行,3.02,3.02,4.8,4.8,5.54,5.54,5.9,5.9,5.56,5.56,4.93,4.93,4.96,4.96,4.99,4.99
26,2014-01-03,兴业银行,2.99,2.99,4.71,4.71,5.51,5.51,5.95,5.95,5.6,5.6,5.2,5.2,5.1,5.1,5.0,5.0
27,2014-01-03,浦发银行,3.02,3.02,4.72,4.72,5.53,5.53,6.25,6.25,5.56,5.56,4.9286,4.9286,4.9481,4.9481,4.9663,4.9663
28,2014-01-03,北京银行,3.01,3.01,4.71,4.71,5.55,5.55,6.21,6.21,5.56,5.56,4.93,4.93,4.95,4.95,4.96,4.96
29,2014-01-03,上海银行,2.99,2.99,4.71,4.71,5.51,5.51,6.25,6.25,5.571,5.571,4.938,4.938,4.957,4.957,4.976,4.976
30,2014-01-03,汇丰中国,3.01,3.01,4.71,4.71,5.51,5.51,6.25,6.25,5.7,5.7,4.93,4.93,4.95,4.95,4.97,4.97
31,2014-01-03,渣打银行,3.02,3.02,4.71,4.71,5.53,5.53,6.21,6.21,5.57,5.57,4.93,4.93,4.95,4.95,4.97,4.97
32,2014-01-03,华夏银行,2.99,2.99,4.71,4.71,5.54,5.54,6.17,6.17,5.57,5.57,4.93,4.93,4.955,4.955,4.97,4.97
33,2014-01-03,广发银行,3.02,3.02,4.71,4.71,5.53,5.53,6.21,6.21,5.56,5.56,4.93,4.93,4.95,4.95,4.97,4.97
34,2014-01-03,邮储银行,2.99,2.99,4.71,4.71,5.53,5.53,6.2,6.2,5.6,5.6,5.1,5.1,5.0,5.0,5.0,5.0
35,2014-01-03,国开行,3.0,3.0,4.72,4.72,5.51,5.51,6.22,6.22,5.4,5.4,4.2,4.2,4.27,4.27,4.4,4.4
36,2014-01-06,工商银行,2.91,2.91,4.67,4.67,5.45,5.45,6.48,6.48,5.56,5.56,4.93,4.93,4.95,4.95,4.97,4.97
